Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv11,SOFTETHER,2016-12-25,08:38,10:43,125
vsrv8,PPTP,2016-12-25,11:43,13:04,81
vsrv17,SSTP,2016-12-25,12:55,13:57,62
vsrv16,PPTP,2016-12-25,14:11,14:15,4
vsrv16,SSTP,2016-12-25,15:00,15:04,4
vsrv17,PPTP,2016-12-25,15:31,15:36,5
vsrv17,PPTP,2016-12-25,15:17,15:48,31
vsrv8,PPTP,2016-12-25,15:57,16:01,4
vsrv16,PPTP,2016-12-25,16:25,17:00,35
vsrv16,PPTP,2016-12-25,15:00,17:07,127
vsrv16,PPTP,2016-12-25,16:07,17:38,91
vsrv8,PPTP,2016-12-25,17:12,17:44,32
vsrv16,PPTP,2016-12-25,17:54,18:28,34
vsrv17,PPTP,2016-12-25,11:28,18:53,445
vsrv8,SSTP,2016-12-25,18:24,19:39,75
vsrv17,SSTP,2016-12-25,19:45,19:45,0
vsrv17,PPTP,2016-12-25,19:05,19:57,52
vsrv17,SSTP,2016-12-25,16:30,20:43,253
vsrv17,PPTP,2016-12-25,19:56,20:56,60
vsrv16,SSTP,2016-12-25,19:39,21:01,82
vsrv8,PPTP,2016-12-25,20:57,21:16,19
vsrv16,PPTP,2016-12-25,21:25,21:48,23
vsrv11,SOFTETHER,2016-12-25,21:10,22:21,71
vsrv11,SOFTETHER,2016-12-25,22:22,22:23,1
vsrv11,PPTP,2016-12-25,21:35,22:42,67
vsrv8,PPTP,2016-12-25,20:05,23:14,189
vsrv17,SSTP,2016-12-25,14:55,23:45,530
vsrv8,SSTP,2016-12-25,20:01,23:47,226
vsrv17,SSTP,2016-12-25,21:15,23:54,159
vsrv17,SSTP,2016-12-25,18:14,23:56,342
vsrv16,PPTP,2016-12-25,23:57,01:06,69
vsrv8,PPTP,2016-12-26,01:11,01:20,9
vsrv16,PPTP,2016-12-26,01:05,01:33,28
vsrv8,PPTP,2016-12-26,01:32,01:43,11
vsrv17,PPTP,2016-12-25,23:08,01:47,159
vsrv17,PPTP,2016-12-26,00:43,02:07,84
vsrv8,PPTP,2016-12-26,00:31,02:24,113
vsrv8,SSTP,2016-12-26,00:08,02:26,138
vsrv8,PPTP,2016-12-26,01:43,02:38,55
vsrv8,PPTP,2016-12-26,01:46,03:33,107
