Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv8,SSTP,2017-01-10,16:25,17:10,45
vsrv16,SSTP,2017-01-10,17:03,17:10,7
vsrv17,PPTP,2017-01-10,11:50,17:11,321
vsrv17,SSTP,2017-01-10,13:36,17:11,215
vsrv8,SSTP,2017-01-10,16:41,17:11,30
vsrv16,PPTP,2017-01-10,13:38,17:11,213
vsrv8,SSTP,2017-01-10,16:26,17:12,46
vsrv17,SSTP,2017-01-10,17:00,17:13,13
vsrv16,OPENVPN_L2,2017-01-10,16:01,17:13,72
vsrv17,SSTP,2017-01-10,17:13,17:14,1
vsrv16,PPTP,2017-01-10,16:51,17:14,23
vsrv17,SSTP,2017-01-10,16:54,17:14,20
vsrv8,SSTP,2017-01-10,17:13,17:16,3
vsrv8,SSTP,2017-01-10,16:32,17:17,45
vsrv16,PPTP,2017-01-10,17:17,17:18,1
vsrv17,SSTP,2017-01-10,17:15,17:20,5
vsrv17,SSTP,2017-01-10,17:20,17:22,2
vsrv8,PPTP,2017-01-10,16:54,17:22,28
vsrv8,SSTP,2017-01-10,17:03,17:23,20
vsrv8,SSTP,2017-01-10,17:15,17:24,9
vsrv17,SSTP,2017-01-10,14:20,17:28,188
vsrv17,SSTP,2017-01-10,17:12,17:28,16
vsrv16,PPTP,2017-01-10,17:23,17:29,6
vsrv8,SSTP,2017-01-10,17:25,17:30,5
vsrv17,SSTP,2017-01-10,16:20,17:31,71
vsrv17,SSTP,2017-01-10,17:31,17:31,0
vsrv16,PPTP,2017-01-10,16:45,17:32,47
vsrv8,SSTP,2017-01-10,16:25,17:32,67
vsrv8,PPTP,2017-01-10,17:12,17:34,22
vsrv8,SSTP,2017-01-10,14:50,17:34,164
vsrv17,PPTP,2017-01-10,16:09,17:35,86
vsrv8,PPTP,2017-01-10,14:42,17:36,174
vsrv16,SSTP,2017-01-10,17:28,17:37,9
vsrv8,PPTP,2017-01-10,15:59,17:39,100
vsrv16,SSTP,2017-01-10,16:42,17:40,58
vsrv17,PPTP,2017-01-10,17:15,17:40,25
vsrv8,PPTP,2017-01-10,14:24,17:41,197
vsrv16,PPTP,2017-01-10,15:28,17:42,134
vsrv8,SSTP,2017-01-10,17:41,17:43,2
vsrv8,SSTP,2017-01-10,16:45,17:43,58
vsrv17,SSTP,2017-01-10,17:25,17:45,20
vsrv17,PPTP,2017-01-10,16:28,17:45,77
vsrv17,PPTP,2017-01-10,17:01,17:46,45
vsrv16,PPTP,2017-01-10,16:48,17:47,59
vsrv16,PPTP,2017-01-10,17:19,17:48,29
vsrv8,PPTP,2017-01-10,16:23,17:48,85
vsrv16,PPTP,2017-01-10,17:14,17:49,35
vsrv17,SSTP,2017-01-10,17:44,17:49,5
vsrv17,PPTP,2017-01-10,17:38,17:50,12
vsrv16,PPTP,2017-01-10,17:45,17:50,5
vsrv16,SSTP,2017-01-10,17:51,17:51,0
vsrv17,PPTP,2017-01-10,17:21,17:52,31
vsrv17,PPTP,2017-01-10,16:55,17:52,57
vsrv8,PPTP,2017-01-10,13:52,17:52,240
vsrv11,PPTP,2017-01-10,17:07,17:53,46
vsrv11,SSTP,2017-01-10,17:41,17:53,12
vsrv8,PPTP,2017-01-10,16:26,17:53,87
vsrv8,SSTP,2017-01-10,17:13,17:53,40
vsrv17,PPTP,2017-01-10,17:49,17:54,5
vsrv16,OPENVPN_L2,2017-01-10,17:23,17:54,31
vsrv17,PPTP,2017-01-10,17:34,17:55,21
vsrv16,PPTP,2017-01-10,16:26,17:55,89
vsrv8,PPTP,2017-01-10,17:37,17:55,18
vsrv8,PPTP,2017-01-10,17:19,17:56,37
vsrv16,PPTP,2017-01-10,16:17,17:56,99
vsrv8,PPTP,2017-01-10,16:55,17:56,61
vsrv8,SSTP,2017-01-10,17:23,17:57,34
vsrv8,PPTP,2017-01-10,17:55,17:58,3
vsrv16,SSTP,2017-01-10,17:50,17:58,8
vsrv16,SSTP,2017-01-10,17:56,17:58,2
vsrv16,PPTP,2017-01-10,16:04,17:59,115
vsrv17,SSTP,2017-01-10,17:40,18:01,21
vsrv8,SSTP,2017-01-10,17:44,18:03,19
vsrv16,SSTP,2017-01-10,18:01,18:04,3
vsrv17,SSTP,2017-01-10,16:47,18:05,78
vsrv17,PPTP,2017-01-10,14:33,18:06,213
vsrv16,SSTP,2017-01-10,16:25,18:06,101
vsrv8,PPTP,2017-01-10,17:04,18:06,62
vsrv17,PPTP,2017-01-10,17:14,18:08,54
vsrv17,SSTP,2017-01-10,17:24,18:09,45
vsrv16,SSTP,2017-01-10,17:21,18:13,52
vsrv17,SSTP,2017-01-10,16:09,18:13,124
vsrv16,SSTP,2017-01-10,16:00,18:14,134
vsrv17,PPTP,2017-01-10,15:21,18:15,174
vsrv17,PPTP,2017-01-10,17:50,18:16,26
vsrv16,PPTP,2017-01-10,15:33,18:17,164
vsrv17,PPTP,2017-01-10,17:52,18:18,26
vsrv17,PPTP,2017-01-10,18:18,18:18,0
vsrv17,PPTP,2017-01-10,18:10,18:18,8
vsrv16,PPTP,2017-01-10,17:02,18:20,78
vsrv11,PPTP,2017-01-10,18:22,18:23,1
vsrv16,SSTP,2017-01-10,18:21,18:23,2
vsrv16,SSTP,2017-01-10,18:06,18:26,20
vsrv16,PPTP,2017-01-10,17:37,18:27,50
vsrv8,PPTP,2017-01-10,16:37,18:27,110
vsrv8,SSTP,2017-01-10,17:25,18:28,63
vsrv17,SSTP,2017-01-10,18:05,18:30,25
vsrv16,SSTP,2017-01-10,18:25,18:30,5
vsrv16,SSTP,2017-01-10,18:16,18:30,14
vsrv16,SSTP,2017-01-10,18:26,18:30,4
vsrv16,PPTP,2017-01-10,17:59,18:34,35
vsrv8,PPTP,2017-01-10,18:19,18:34,15
vsrv16,SSTP,2017-01-10,18:23,18:38,15
vsrv17,SSTP,2017-01-10,18:12,18:39,27
vsrv17,SSTP,2017-01-10,18:34,18:40,6
vsrv8,PPTP,2017-01-10,17:19,18:40,81
vsrv8,SSTP,2017-01-10,17:47,18:41,54
vsrv8,SSTP,2017-01-10,18:24,18:41,17
vsrv16,SSTP,2017-01-10,18:30,18:41,11
vsrv17,PPTP,2017-01-10,14:24,18:42,258
vsrv8,SSTP,2017-01-10,18:45,18:45,0
vsrv16,PPTP,2017-01-10,17:37,18:48,71
vsrv8,PPTP,2017-01-10,18:46,18:49,3
vsrv8,PPTP,2017-01-10,18:45,18:49,4
vsrv8,PPTP,2017-01-10,16:12,18:50,158
vsrv17,SSTP,2017-01-10,18:41,18:50,9
vsrv17,SSTP,2017-01-10,18:52,18:52,0
vsrv16,SSTP,2017-01-10,18:42,18:53,11
vsrv8,SSTP,2017-01-10,18:45,18:53,8
vsrv17,PPTP,2017-01-10,13:54,18:53,299
vsrv16,PPTP,2017-01-10,18:53,18:55,2
vsrv8,SSTP,2017-01-10,18:42,18:56,14
vsrv16,PPTP,2017-01-10,18:46,18:58,12
vsrv16,PPTP,2017-01-10,18:41,18:59,18
vsrv17,PPTP,2017-01-10,19:00,19:00,0
vsrv8,PPTP,2017-01-10,16:24,19:00,156
vsrv17,SSTP,2017-01-10,17:48,19:03,75
vsrv16,SSTP,2017-01-10,18:51,19:03,12
vsrv16,SSTP,2017-01-10,18:50,19:04,14
vsrv8,PPTP,2017-01-10,18:39,19:07,28
vsrv17,SSTP,2017-01-10,18:03,19:09,66
vsrv16,SSTP,2017-01-10,18:37,19:11,34
vsrv16,SSTP,2017-01-10,18:53,19:11,18
vsrv17,SSTP,2017-01-10,18:59,19:12,13
vsrv17,SSTP,2017-01-10,19:09,19:14,5
vsrv16,SSTP,2017-01-10,18:53,19:16,23
vsrv8,SSTP,2017-01-10,18:57,19:16,19
vsrv8,SSTP,2017-01-10,19:16,19:16,0
vsrv16,PPTP,2017-01-10,18:42,19:17,35
vsrv17,SSTP,2017-01-10,18:17,19:18,61
vsrv8,PPTP,2017-01-10,19:17,19:20,3
vsrv17,SSTP,2017-01-10,19:06,19:22,16
vsrv8,SSTP,2017-01-10,17:27,19:28,121
vsrv16,PPTP,2017-01-10,18:05,19:30,85
vsrv8,SSTP,2017-01-10,19:23,19:30,7
vsrv8,PPTP,2017-01-10,19:29,19:30,1
vsrv8,SSTP,2017-01-10,19:30,19:30,0
vsrv8,SSTP,2017-01-10,18:43,19:31,48
vsrv17,PPTP,2017-01-10,19:08,19:31,23
vsrv17,PPTP,2017-01-10,19:21,19:32,11
vsrv8,PPTP,2017-01-10,19:04,19:33,29
vsrv8,PPTP,2017-01-10,18:48,19:33,45
vsrv17,PPTP,2017-01-10,18:38,19:33,55
vsrv16,SSTP,2017-01-10,18:25,19:33,68
vsrv16,SSTP,2017-01-10,19:34,19:34,0
vsrv8,SSTP,2017-01-10,18:20,19:35,75
vsrv8,SSTP,2017-01-10,19:31,19:36,5
vsrv8,PPTP,2017-01-10,19:30,19:37,7
vsrv16,SSTP,2017-01-10,19:39,19:39,0
vsrv16,SSTP,2017-01-10,19:40,19:40,0
vsrv16,SSTP,2017-01-10,19:40,19:40,0
vsrv8,PPTP,2017-01-10,14:35,19:40,305
vsrv16,SSTP,2017-01-10,19:40,19:40,0
vsrv16,PPTP,2017-01-10,18:35,19:46,71
vsrv16,PPTP,2017-01-10,18:53,19:47,54
vsrv16,SSTP,2017-01-10,19:15,19:49,34
vsrv8,SSTP,2017-01-10,19:00,19:50,50
vsrv17,SSTP,2017-01-10,19:22,19:51,29
vsrv8,SSTP,2017-01-10,19:51,19:55,4
vsrv8,SSTP,2017-01-10,19:06,19:55,49
vsrv8,SSTP,2017-01-10,18:59,19:55,56
vsrv8,SSTP,2017-01-10,18:20,19:55,95
vsrv8,SSTP,2017-01-10,19:49,19:55,6
vsrv8,SSTP,2017-01-10,19:54,19:56,2
vsrv8,PPTP,2017-01-10,17:35,20:00,145
vsrv16,SSTP,2017-01-10,19:43,20:00,17
vsrv8,SSTP,2017-01-10,20:02,20:03,1
vsrv16,SSTP,2017-01-10,19:49,20:04,15
vsrv16,SSTP,2017-01-10,18:32,20:06,94
vsrv16,PPTP,2017-01-10,16:41,20:06,205
vsrv17,PPTP,2017-01-10,19:05,20:08,63
vsrv8,PPTP,2017-01-10,17:29,20:08,159
vsrv17,PPTP,2017-01-10,18:04,20:09,125
vsrv8,PPTP,2017-01-10,20:11,20:11,0
vsrv17,SSTP,2017-01-10,19:18,20:13,55
vsrv16,SSTP,2017-01-10,19:41,20:15,34
vsrv16,PPTP,2017-01-10,18:58,20:16,78
