Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,SSTP,2017-01-14,21:16,22:30,74
vsrv8,SSTP,2017-01-14,21:27,22:32,65
vsrv16,SSTP,2017-01-14,22:27,22:33,6
vsrv17,SSTP,2017-01-14,21:22,22:34,72
vsrv16,PPTP,2017-01-14,22:25,22:34,9
vsrv17,SSTP,2017-01-14,22:11,22:35,24
vsrv16,SSTP,2017-01-14,22:03,22:36,33
vsrv8,SSTP,2017-01-14,22:27,22:37,10
vsrv17,SSTP,2017-01-14,22:06,22:38,32
vsrv17,PPTP,2017-01-14,22:36,22:39,3
vsrv8,PPTP,2017-01-14,22:40,22:40,0
vsrv17,SSTP,2017-01-14,21:31,22:40,69
vsrv8,SSTP,2017-01-14,21:19,22:41,82
vsrv17,SSTP,2017-01-14,22:20,22:42,22
vsrv16,PPTP,2017-01-14,22:42,22:42,0
vsrv8,SSTP,2017-01-14,21:52,22:42,50
vsrv16,SSTP,2017-01-14,22:36,22:42,6
vsrv16,SSTP,2017-01-14,21:17,22:43,86
vsrv16,PPTP,2017-01-14,18:38,22:44,246
vsrv8,SSTP,2017-01-14,22:33,22:45,12
vsrv8,SSTP,2017-01-14,22:44,22:45,1
vsrv8,PPTP,2017-01-14,22:18,22:47,29
vsrv16,PPTP,2017-01-14,21:17,22:52,95
vsrv17,PPTP,2017-01-14,22:52,22:52,0
vsrv17,PPTP,2017-01-14,22:47,22:55,8
vsrv17,PPTP,2017-01-14,19:17,22:55,218
vsrv8,PPTP,2017-01-14,20:19,22:55,156
vsrv16,SSTP,2017-01-14,21:09,22:56,107
vsrv8,PPTP,2017-01-14,22:53,22:58,5
vsrv16,PPTP,2017-01-14,22:56,22:58,2
vsrv8,PPTP,2017-01-14,21:13,22:58,105
vsrv8,PPTP,2017-01-14,21:28,22:58,90
vsrv17,SSTP,2017-01-14,22:31,22:59,28
vsrv8,PPTP,2017-01-14,21:58,22:59,61
vsrv8,PPTP,2017-01-14,22:58,23:00,2
vsrv17,PPTP,2017-01-14,22:16,23:00,44
vsrv16,PPTP,2017-01-14,22:59,23:01,2
vsrv8,SSTP,2017-01-14,22:42,23:01,19
vsrv17,PPTP,2017-01-14,22:17,23:01,44
vsrv17,SSTP,2017-01-14,21:13,23:02,109
vsrv8,PPTP,2017-01-14,17:20,23:02,342
vsrv16,PPTP,2017-01-14,22:50,23:03,13
vsrv17,PPTP,2017-01-14,22:40,23:03,23
vsrv16,PPTP,2017-01-14,21:10,23:03,113
vsrv16,PPTP,2017-01-14,22:12,23:03,51
vsrv16,SSTP,2017-01-14,22:14,23:03,49
vsrv16,PPTP,2017-01-14,22:04,23:04,60
vsrv17,PPTP,2017-01-14,19:06,23:04,238
vsrv8,SSTP,2017-01-14,23:05,23:06,1
vsrv8,PPTP,2017-01-14,23:02,23:06,4
vsrv16,SSTP,2017-01-14,19:25,23:06,221
vsrv8,SSTP,2017-01-14,23:08,23:08,0
vsrv17,SSTP,2017-01-14,21:27,23:10,103
vsrv8,PPTP,2017-01-14,22:56,23:10,14
vsrv16,PPTP,2017-01-14,23:09,23:13,4
vsrv17,PPTP,2017-01-14,22:16,23:14,58
vsrv16,SSTP,2017-01-14,23:14,23:15,1
vsrv8,PPTP,2017-01-14,23:05,23:15,10
vsrv17,PPTP,2017-01-14,21:13,23:15,122
vsrv16,PPTP,2017-01-14,23:06,23:15,9
vsrv16,PPTP,2017-01-14,23:16,23:17,1
vsrv17,SSTP,2017-01-14,22:10,23:18,68
vsrv16,PPTP,2017-01-14,20:23,23:18,175
vsrv17,SSTP,2017-01-14,22:07,23:19,72
vsrv16,SSTP,2017-01-14,23:15,23:20,5
vsrv16,PPTP,2017-01-14,23:21,23:21,0
vsrv16,SSTP,2017-01-14,23:21,23:21,0
vsrv16,PPTP,2017-01-14,23:21,23:21,0
vsrv17,PPTP,2017-01-14,21:19,23:24,125
vsrv8,PPTP,2017-01-14,15:11,23:25,494
vsrv8,SSTP,2017-01-14,18:46,23:25,279
vsrv17,PPTP,2017-01-14,22:05,23:26,81
vsrv16,PPTP,2017-01-14,18:22,23:26,304
vsrv16,PPTP,2017-01-14,15:25,23:29,484
vsrv8,SSTP,2017-01-14,23:21,23:29,8
vsrv8,PPTP,2017-01-14,23:21,23:29,8
vsrv16,SSTP,2017-01-14,22:39,23:31,52
vsrv16,SSTP,2017-01-14,21:41,23:34,113
vsrv16,PPTP,2017-01-14,23:38,23:40,2
vsrv16,SSTP,2017-01-14,19:12,23:40,268
vsrv8,SSTP,2017-01-14,22:45,23:40,55
vsrv8,PPTP,2017-01-14,23:10,23:40,30
vsrv8,SSTP,2017-01-14,23:41,23:41,0
vsrv8,SSTP,2017-01-14,23:42,23:42,0
vsrv8,SSTP,2017-01-14,23:38,23:43,5
vsrv8,SSTP,2017-01-14,23:42,23:43,1
vsrv8,SSTP,2017-01-14,23:41,23:43,2
vsrv8,OPENVPN_L2,2017-01-14,23:43,23:43,0
vsrv16,SSTP,2017-01-14,23:43,23:44,1
vsrv8,PPTP,2017-01-14,23:44,23:44,0
vsrv16,PPTP,2017-01-14,20:50,23:45,175
vsrv17,PPTP,2017-01-14,23:40,23:47,7
vsrv8,PPTP,2017-01-14,20:33,23:47,194
vsrv8,PPTP,2017-01-14,14:14,23:47,573
vsrv17,SSTP,2017-01-14,23:26,23:47,21
vsrv8,SSTP,2017-01-14,23:48,23:48,0
vsrv17,SSTP,2017-01-14,23:31,23:48,17
vsrv8,SSTP,2017-01-14,22:58,23:48,50
vsrv8,SSTP,2017-01-14,23:48,23:49,1
vsrv16,SSTP,2017-01-14,23:47,23:49,2
vsrv8,PPTP,2017-01-14,21:49,23:49,120
vsrv17,SSTP,2017-01-14,23:43,23:50,7
vsrv8,SSTP,2017-01-14,23:50,23:50,0
vsrv17,OPENVPN_L2,2017-01-14,21:36,23:50,134
vsrv8,SSTP,2017-01-14,23:50,23:50,0
vsrv8,PPTP,2017-01-14,23:50,23:50,0
vsrv8,SSTP,2017-01-14,23:08,23:51,43
vsrv8,PPTP,2017-01-14,23:52,23:53,1
vsrv16,SSTP,2017-01-14,22:46,23:53,67
