Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,PPTP,2017-03-14,21:45,22:04,19
vsrv16,PPTP,2017-03-14,22:31,22:31,0
vsrv16,PPTP,2017-03-14,22:09,22:36,27
vsrv17,PPTP,2017-03-14,22:05,22:52,47
vsrv8,PPTP,2017-03-14,22:56,22:57,1
vsrv16,PPTP,2017-03-14,23:04,23:12,8
vsrv16,PPTP,2017-03-14,23:12,23:16,4
vsrv16,SSTP,2017-03-14,21:35,23:20,105
vsrv16,PPTP,2017-03-14,23:29,23:29,0
vsrv16,SSTP,2017-03-14,22:03,23:43,100
vsrv8,PPTP,2017-03-14,22:27,23:45,78
vsrv17,SSTP,2017-03-14,23:15,23:46,31
vsrv16,PPTP,2017-03-14,23:52,23:56,4
vsrv16,OPENVPN_L2,2017-03-14,20:58,00:02,184
vsrv11,PPTP,2017-03-15,00:00,01:10,70
vsrv16,PPTP,2017-03-14,23:46,01:44,118
vsrv16,PPTP,2017-03-15,01:49,02:17,28
vsrv16,PPTP,2017-03-15,08:15,08:56,41
vsrv8,OPENVPN_L2,2017-03-15,10:10,10:12,2
vsrv8,OPENVPN_L2,2017-03-15,10:14,10:14,0
vsrv16,OPENVPN_L2,2017-03-15,10:18,10:18,0
vsrv16,OPENVPN_L2,2017-03-15,10:23,10:23,0
vsrv16,OPENVPN_L2,2017-03-15,10:31,10:36,5
vsrv17,OPENVPN_L2,2017-03-15,10:37,10:38,1
vsrv8,SSTP,2017-03-15,10:02,10:54,52
vsrv16,OPENVPN_L2,2017-03-15,10:42,11:01,19
vsrv11,PPTP,2017-03-15,09:24,11:02,98
vsrv11,OPENVPN_L2,2017-03-15,11:04,11:04,0
vsrv16,OPENVPN_L2,2017-03-15,11:11,11:11,0
vsrv16,OPENVPN_L2,2017-03-15,11:16,11:16,0
vsrv16,OPENVPN_L2,2017-03-15,11:19,11:20,1
vsrv16,OPENVPN_L2,2017-03-15,11:27,11:27,0
vsrv16,OPENVPN_L2,2017-03-15,11:30,11:31,1
vsrv16,OPENVPN_L2,2017-03-15,11:34,11:35,1
vsrv16,OPENVPN_L2,2017-03-15,11:31,11:35,4
vsrv17,SSTP,2017-03-15,11:52,11:53,1
vsrv17,SSTP,2017-03-15,11:23,12:00,37
vsrv16,OPENVPN_L2,2017-03-15,12:05,12:05,0
vsrv16,OPENVPN_L2,2017-03-15,12:16,12:17,1
vsrv8,PPTP,2017-03-15,11:37,12:29,52
vsrv16,SSTP,2017-03-15,12:00,12:41,41
vsrv16,PPTP,2017-03-15,12:33,12:41,8
vsrv16,OPENVPN_L2,2017-03-15,12:54,12:54,0
vsrv16,OPENVPN_L2,2017-03-15,12:55,12:55,0
vsrv16,OPENVPN_L2,2017-03-15,12:56,12:56,0
vsrv16,PPTP,2017-03-15,12:42,12:59,17
vsrv16,SSTP,2017-03-15,12:41,13:01,20
vsrv17,SSTP,2017-03-15,11:17,13:07,110
vsrv16,PPTP,2017-03-15,09:11,13:32,261
vsrv16,OPENVPN_L2,2017-03-15,13:32,14:05,33
vsrv11,PPTP,2017-03-15,10:00,14:26,266
vsrv17,SSTP,2017-03-15,14:25,14:27,2
vsrv16,PPTP,2017-03-15,13:32,14:32,60
vsrv11,PPTP,2017-03-15,14:25,14:52,27
vsrv11,OPENVPN_L2,2017-03-15,14:33,14:55,22
vsrv17,PPTP,2017-03-15,12:26,15:09,163
vsrv11,SSTP,2017-03-15,15:11,15:14,3
vsrv11,OPENVPN_L2,2017-03-15,14:19,15:17,58
vsrv11,PPTP,2017-03-15,14:54,15:21,27
vsrv11,PPTP,2017-03-15,15:27,15:31,4
vsrv8,PPTP,2017-03-15,15:23,15:38,15
vsrv17,PPTP,2017-03-15,15:09,16:25,76
vsrv8,PPTP,2017-03-15,15:25,16:34,69
vsrv11,PPTP,2017-03-15,15:39,16:43,64
vsrv17,PPTP,2017-03-15,16:56,16:57,1
vsrv8,PPTP,2017-03-15,15:36,16:59,83
vsrv16,PPTP,2017-03-15,16:58,17:00,2
vsrv8,PPTP,2017-03-15,16:00,17:10,70
vsrv16,SSTP,2017-03-15,10:31,17:16,405
vsrv11,SSTP,2017-03-15,17:21,17:40,19
vsrv8,SSTP,2017-03-15,16:27,17:44,77
vsrv17,PPTP,2017-03-15,17:52,17:54,2
