Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv17,PPTP,2017-05-22,11:03,11:51,48
vsrv11,OPENVPN_L2,2017-05-22,11:29,11:52,23
vsrv11,OPENVPN_L2,2017-05-22,11:57,11:59,2
vsrv8,SSTP,2017-05-22,10:30,12:00,90
vsrv11,OPENVPN_L2,2017-05-22,12:02,12:04,2
vsrv11,PPTP,2017-05-22,11:25,12:04,39
vsrv11,OPENVPN_L2,2017-05-22,12:06,12:09,3
vsrv11,OPENVPN_L2,2017-05-22,12:11,12:27,16
vsrv11,PPTP,2017-05-22,12:12,12:27,15
vsrv11,OPENVPN_L2,2017-05-22,12:28,12:28,0
vsrv11,OPENVPN_L2,2017-05-22,12:28,12:55,27
vsrv8,PPTP,2017-05-22,07:23,13:00,337
vsrv16,PPTP,2017-05-22,09:43,13:00,197
vsrv11,PPTP,2017-05-22,12:50,13:19,29
vsrv11,PPTP,2017-05-22,13:19,13:43,24
vsrv8,SSTP,2017-05-22,13:28,13:52,24
vsrv11,PPTP,2017-05-22,13:51,14:20,29
vsrv11,OPENVPN_L2,2017-05-22,13:09,14:43,94
vsrv11,PPTP,2017-05-22,15:04,15:06,2
vsrv11,PPTP,2017-05-22,15:06,15:07,1
vsrv11,OPENVPN_L2,2017-05-22,14:43,15:12,29
vsrv11,PPTP,2017-05-22,15:14,15:26,12
vsrv17,SSTP,2017-05-22,13:29,15:48,139
vsrv8,PPTP,2017-05-22,15:45,15:49,4
vsrv11,SOFTETHER,2017-05-22,15:26,15:58,32
vsrv8,PPTP,2017-05-22,15:59,16:01,2
vsrv8,SSTP,2017-05-22,14:58,16:05,67
vsrv11,OPENVPN_L2,2017-05-22,15:16,16:07,51
vsrv8,PPTP,2017-05-22,16:10,16:22,12
vsrv11,OPENVPN_L2,2017-05-22,16:08,16:23,15
vsrv16,PPTP,2017-05-22,15:45,16:34,49
vsrv17,PPTP,2017-05-22,16:20,16:36,16
vsrv16,SSTP,2017-05-21,23:13,16:37,1044
vsrv8,SSTP,2017-05-22,16:59,17:00,1
vsrv8,PPTP,2017-05-22,17:00,17:01,1
vsrv8,PPTP,2017-05-22,17:01,17:01,0
vsrv8,SSTP,2017-05-22,17:01,17:01,0
vsrv11,SOFTETHER,2017-05-22,16:00,17:03,63
vsrv8,PPTP,2017-05-22,17:04,17:04,0
vsrv16,PPTP,2017-05-22,17:02,17:05,3
vsrv8,PPTP,2017-05-22,17:04,17:05,1
vsrv17,PPTP,2017-05-22,16:54,17:07,13
vsrv8,PPTP,2017-05-22,17:05,17:07,2
vsrv17,PPTP,2017-05-22,17:07,17:09,2
vsrv17,PPTP,2017-05-22,17:05,17:10,5
vsrv8,SSTP,2017-05-22,13:48,17:11,203
vsrv17,PPTP,2017-05-22,17:11,17:11,0
vsrv17,PPTP,2017-05-22,17:10,17:13,3
vsrv17,PPTP,2017-05-22,17:11,17:14,3
vsrv8,PPTP,2017-05-22,17:14,17:16,2
vsrv17,PPTP,2017-05-22,17:16,17:16,0
vsrv17,PPTP,2017-05-22,17:17,17:18,1
vsrv16,PPTP,2017-05-22,17:18,17:18,0
vsrv17,PPTP,2017-05-22,17:33,17:33,0
vsrv8,SSTP,2017-05-22,17:20,17:42,22
vsrv16,SSTP,2017-05-22,17:43,17:46,3
vsrv16,PPTP,2017-05-22,17:13,17:46,33
vsrv16,SSTP,2017-05-22,17:48,17:51,3
vsrv11,OPENVPN_L2,2017-05-22,16:34,17:55,81
vsrv11,OPENVPN_L2,2017-05-22,18:01,18:02,1
vsrv11,OPENVPN_L2,2017-05-22,18:02,18:02,0
vsrv11,OPENVPN_L2,2017-05-22,18:02,18:02,0
vsrv8,PPTP,2017-05-22,17:12,18:05,53
vsrv11,OPENVPN_L2,2017-05-22,18:02,18:10,8
vsrv8,OPENVPN_L2,2017-05-22,18:10,18:10,0
vsrv11,OPENVPN_L2,2017-05-22,18:10,18:14,4
vsrv11,OPENVPN_L2,2017-05-22,18:14,18:16,2
vsrv11,OPENVPN_L2,2017-05-22,18:16,18:17,1
vsrv11,OPENVPN_L2,2017-05-22,18:17,18:17,0
vsrv8,OPENVPN_L2,2017-05-22,18:18,18:18,0
vsrv11,OPENVPN_L2,2017-05-22,18:17,18:32,15
vsrv11,OPENVPN_L2,2017-05-22,18:32,18:37,5
vsrv11,PPTP,2017-05-22,18:14,18:51,37
vsrv8,OPENVPN_L2,2017-05-22,18:21,18:53,32
vsrv8,SSTP,2017-05-22,17:54,18:54,60
vsrv17,OPENVPN_L2,2017-05-22,18:53,18:55,2
vsrv17,SSTP,2017-05-22,19:06,19:07,1
vsrv17,OPENVPN_L2,2017-05-22,18:56,19:10,14
vsrv8,SSTP,2017-05-22,19:07,19:12,5
vsrv16,OPENVPN_L2,2017-05-22,19:13,19:14,1
