Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv11,SSTP,2017-07-31,08:45,08:48,3
vsrv17,PPTP,2017-07-31,10:40,10:43,3
vsrv17,SSTP,2017-07-31,09:55,10:50,55
vsrv11,PPTP,2017-07-31,13:09,13:32,23
vsrv11,PPTP,2017-07-31,14:42,15:33,51
vsrv16,SSTP,2017-07-31,13:21,16:10,169
vsrv17,SSTP,2017-07-31,16:10,16:11,1
vsrv16,SSTP,2017-07-31,16:11,16:11,0
vsrv11,PPTP,2017-07-31,15:42,16:35,53
vsrv17,PPTP,2017-07-31,08:28,17:17,529
vsrv11,SOFTETHER,2017-07-31,17:51,17:54,3
vsrv8,PPTP,2017-07-31,17:54,17:55,1
vsrv8,SSTP,2017-07-31,17:50,17:57,7
vsrv16,PPTP,2017-07-31,17:57,17:58,1
vsrv8,SSTP,2017-07-31,09:45,18:08,503
vsrv17,SSTP,2017-07-31,14:15,18:33,258
vsrv11,SOFTETHER,2017-07-31,15:19,18:52,213
vsrv17,PPTP,2017-07-31,18:50,18:57,7
vsrv8,PPTP,2017-07-31,18:33,18:58,25
vsrv8,PPTP,2017-07-31,09:50,19:23,573
vsrv8,PPTP,2017-07-31,19:07,19:39,32
vsrv16,SSTP,2017-07-31,22:55,22:55,0
vsrv11,SOFTETHER,2017-07-31,21:17,23:00,103
vsrv16,PPTP,2017-07-31,23:56,00:47,51
vsrv17,PPTP,2017-08-01,01:23,01:24,1
vsrv8,PPTP,2017-07-31,23:48,01:30,102
vsrv16,PPTP,2017-08-01,01:38,01:55,17
vsrv8,PPTP,2017-08-01,06:54,08:18,84
vsrv16,PPTP,2017-08-01,08:09,08:59,50
vsrv16,SSTP,2017-08-01,10:11,10:13,2
vsrv17,SSTP,2017-08-01,10:16,10:18,2
vsrv16,SSTP,2017-08-01,10:19,10:21,2
vsrv16,SSTP,2017-08-01,11:06,11:21,15
vsrv17,SSTP,2017-08-01,11:39,11:48,9
vsrv11,PPTP,2017-08-01,11:29,12:02,33
vsrv8,PPTP,2017-08-01,09:55,12:36,161
vsrv16,PPTP,2017-08-01,09:01,12:36,215
vsrv16,SSTP,2017-08-01,11:53,13:02,69
vsrv17,PPTP,2017-08-01,13:44,13:44,0
vsrv17,PPTP,2017-08-01,13:45,13:45,0
vsrv17,PPTP,2017-08-01,13:45,13:45,0
vsrv16,PPTP,2017-08-01,13:51,13:51,0
vsrv17,PPTP,2017-08-01,13:54,13:54,0
vsrv11,PPTP,2017-08-01,14:29,14:36,7
vsrv16,SSTP,2017-08-01,14:00,15:20,80
vsrv17,SSTP,2017-08-01,15:27,15:29,2
vsrv16,SSTP,2017-08-01,15:30,15:30,0
vsrv17,SSTP,2017-08-01,16:14,16:15,1
vsrv16,SSTP,2017-08-01,16:42,16:42,0
vsrv17,SSTP,2017-08-01,16:45,16:46,1
vsrv11,SOFTETHER,2017-08-01,16:38,16:48,10
vsrv16,SSTP,2017-08-01,16:48,16:49,1
vsrv16,SSTP,2017-08-01,16:51,17:11,20
vsrv16,PPTP,2017-08-01,13:59,17:14,195
vsrv16,SSTP,2017-08-01,09:55,18:03,488
vsrv8,PPTP,2017-08-01,13:35,19:17,342
vsrv17,PPTP,2017-08-01,20:27,20:27,0
vsrv8,PPTP,2017-08-01,20:27,20:28,1
vsrv17,PPTP,2017-08-01,23:59,23:59,0
vsrv11,SOFTETHER,2017-08-01,21:10,00:17,187
vsrv8,PPTP,2017-08-02,01:25,01:44,19
vsrv17,PPTP,2017-08-02,07:20,09:51,151
vsrv11,PPTP,2017-08-02,09:48,09:57,9
vsrv16,SSTP,2017-08-02,10:00,10:04,4
vsrv17,SSTP,2017-08-02,10:07,10:12,5
vsrv16,SSTP,2017-08-02,10:25,10:25,0
vsrv16,SSTP,2017-08-02,10:25,10:32,7
vsrv16,SSTP,2017-08-02,10:39,10:57,18
vsrv17,SSTP,2017-08-02,11:01,11:05,4
vsrv17,SSTP,2017-08-02,11:05,11:06,1
vsrv8,PPTP,2017-08-02,12:24,12:59,35
vsrv16,SSTP,2017-08-02,13:59,14:00,1
vsrv11,PPTP,2017-08-02,13:10,14:08,58
vsrv16,SSTP,2017-08-02,14:35,14:56,21
vsrv17,SSTP,2017-08-02,14:58,14:59,1
vsrv17,SSTP,2017-08-02,14:59,15:00,1
vsrv16,PPTP,2017-08-02,15:07,15:13,6
vsrv16,SSTP,2017-08-02,15:36,15:38,2
vsrv16,PPTP,2017-08-02,10:08,16:16,368
vsrv17,SSTP,2017-08-02,16:16,16:28,12
vsrv16,SSTP,2017-08-02,16:39,16:40,1
vsrv17,PPTP,2017-08-02,08:11,17:14,543
vsrv17,SSTP,2017-08-02,09:10,18:02,532
vsrv17,SSTP,2017-08-02,16:40,18:17,97
vsrv17,PPTP,2017-08-02,17:16,18:47,91
vsrv11,PPTP,2017-08-02,14:21,22:18,477
vsrv8,PPTP,2017-08-02,20:23,22:32,129
vsrv8,PPTP,2017-08-02,23:08,23:08,0
vsrv17,PPTP,2017-08-02,23:30,23:45,15
vsrv11,SOFTETHER,2017-08-02,22:31,00:10,99
vsrv17,PPTP,2017-08-03,00:54,01:17,23
vsrv16,PPTP,2017-08-03,02:13,04:45,152
vsrv17,PPTP,2017-08-03,05:28,05:43,15
vsrv16,PPTP,2017-08-03,05:57,06:23,26
