Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv8,OPENVPN_L2,2017-10-02,20:15,20:15,0
vsrv8,OPENVPN_L2,2017-10-02,20:15,20:15,0
vsrv16,OPENVPN_L2,2017-10-02,20:16,20:16,0
vsrv16,OPENVPN_L2,2017-10-02,20:16,20:16,0
vsrv16,OPENVPN_L2,2017-10-02,20:16,20:17,1
vsrv16,OPENVPN_L2,2017-10-02,20:17,20:17,0
vsrv16,OPENVPN_L2,2017-10-02,20:17,20:17,0
vsrv16,OPENVPN_L2,2017-10-02,20:17,20:17,0
vsrv17,PPTP,2017-10-02,18:38,20:27,109
vsrv11,PPTP,2017-10-02,20:35,20:39,4
vsrv17,SSTP,2017-10-02,19:43,20:50,67
vsrv16,SSTP,2017-10-02,20:49,20:54,5
vsrv17,PPTP,2017-10-02,15:11,20:58,347
vsrv16,SSTP,2017-10-02,16:44,21:05,261
vsrv8,SSTP,2017-10-02,20:50,21:07,17
vsrv16,PPTP,2017-10-02,21:08,21:09,1
vsrv17,SSTP,2017-10-02,19:13,21:22,129
vsrv11,OPENVPN_L2,2017-10-02,20:45,21:30,45
vsrv11,OPENVPN_L2,2017-10-02,21:30,21:32,2
vsrv16,SSTP,2017-10-02,21:07,21:44,37
vsrv17,SSTP,2017-10-02,20:41,22:05,84
vsrv8,PPTP,2017-10-02,21:03,22:23,80
vsrv8,PPTP,2017-10-02,21:41,22:26,45
vsrv17,SSTP,2017-10-02,19:01,22:31,210
vsrv11,PPTP,2017-10-02,22:23,22:51,28
vsrv17,SSTP,2017-10-02,22:45,22:54,9
vsrv8,PPTP,2017-10-02,16:21,23:10,409
vsrv16,SSTP,2017-10-02,22:41,23:28,47
vsrv8,SSTP,2017-10-02,21:24,23:32,128
vsrv16,SSTP,2017-10-03,00:45,00:49,4
vsrv16,PPTP,2017-10-03,00:53,00:54,1
vsrv17,SSTP,2017-10-03,00:37,00:55,18
vsrv16,PPTP,2017-10-03,00:11,00:57,46
vsrv8,SSTP,2017-10-02,20:54,00:58,244
vsrv8,PPTP,2017-10-03,01:17,01:28,11
vsrv17,SSTP,2017-10-02,21:42,01:36,234
vsrv8,OPENVPN_L2,2017-10-03,01:57,01:58,1
vsrv17,OPENVPN_L2,2017-10-03,02:00,02:01,1
vsrv11,SSTP,2017-10-02,22:26,03:47,321
vsrv11,OPENVPN_L2,2017-10-03,07:48,08:25,37
vsrv16,PPTP,2017-10-03,08:37,08:43,6
vsrv17,SSTP,2017-10-03,08:04,09:03,59
vsrv17,OPENVPN_L2,2017-10-03,09:07,09:08,1
vsrv8,PPTP,2017-10-03,08:45,09:08,23
vsrv17,OPENVPN_L2,2017-10-03,09:08,09:08,0
vsrv16,OPENVPN_L2,2017-10-03,09:08,09:08,0
vsrv17,OPENVPN_L2,2017-10-03,09:08,09:08,0
vsrv8,OPENVPN_L2,2017-10-03,09:09,09:09,0
vsrv17,OPENVPN_L2,2017-10-03,09:09,09:09,0
vsrv16,OPENVPN_L2,2017-10-03,09:09,09:09,0
vsrv16,OPENVPN_L2,2017-10-03,09:10,09:10,0
vsrv16,OPENVPN_L2,2017-10-03,09:10,09:10,0
vsrv16,OPENVPN_L2,2017-10-03,09:10,09:10,0
vsrv16,OPENVPN_L2,2017-10-03,09:10,09:11,1
vsrv8,OPENVPN_L2,2017-10-03,09:11,09:11,0
vsrv8,OPENVPN_L2,2017-10-03,09:11,09:11,0
vsrv8,OPENVPN_L2,2017-10-03,09:11,09:12,1
vsrv16,OPENVPN_L2,2017-10-03,09:12,09:12,0
vsrv16,OPENVPN_L2,2017-10-03,09:12,09:12,0
vsrv16,OPENVPN_L2,2017-10-03,09:12,09:12,0
vsrv17,OPENVPN_L2,2017-10-03,09:12,09:13,1
vsrv17,OPENVPN_L2,2017-10-03,09:13,09:13,0
vsrv16,OPENVPN_L2,2017-10-03,09:14,09:15,1
vsrv11,OPENVPN_L2,2017-10-03,09:15,09:16,1
vsrv8,SSTP,2017-10-03,08:30,09:21,51
vsrv8,SSTP,2017-10-03,09:25,09:29,4
vsrv8,OPENVPN_L2,2017-10-03,09:29,09:29,0
vsrv17,SSTP,2017-10-03,09:35,09:39,4
vsrv8,PPTP,2017-10-03,08:31,09:42,71
vsrv16,SSTP,2017-10-03,09:40,09:44,4
vsrv11,SOFTETHER,2017-10-03,08:24,09:48,84
vsrv8,OPENVPN_L2,2017-10-03,09:51,09:51,0
vsrv8,OPENVPN_L2,2017-10-03,09:51,09:51,0
vsrv16,SSTP,2017-10-03,08:26,09:53,87
vsrv17,SSTP,2017-10-03,09:19,09:56,37
vsrv11,OPENVPN_L2,2017-10-03,08:40,10:07,87
vsrv16,PPTP,2017-10-03,09:20,10:10,50
vsrv17,PPTP,2017-10-03,09:51,10:11,20
vsrv17,SSTP,2017-10-03,09:48,10:12,24
vsrv11,PPTP,2017-10-03,07:44,10:12,148
vsrv8,PPTP,2017-10-03,09:47,10:16,29
vsrv16,SSTP,2017-10-03,10:20,10:23,3
vsrv16,SSTP,2017-10-03,10:22,10:27,5
vsrv17,SSTP,2017-10-03,10:16,10:28,12
vsrv11,PPTP,2017-10-03,10:27,10:28,1
vsrv17,OPENVPN_L3,2017-10-03,10:17,10:33,16
vsrv11,OPENVPN_L2,2017-10-03,10:32,10:39,7
vsrv17,SSTP,2017-10-03,10:13,10:41,28
vsrv17,SSTP,2017-10-03,10:46,10:55,9
vsrv8,SSTP,2017-10-03,10:57,10:59,2
vsrv17,SSTP,2017-10-03,10:57,11:00,3
vsrv16,PPTP,2017-10-03,10:42,11:01,19
vsrv17,SSTP,2017-10-03,11:00,11:01,1
vsrv11,OPENVPN_L2,2017-10-03,08:55,11:08,133
vsrv16,SSTP,2017-10-03,10:36,11:10,34
vsrv11,OPENVPN_L2,2017-10-03,11:03,11:14,11
vsrv17,SSTP,2017-10-03,11:19,11:20,1
vsrv8,SSTP,2017-10-03,10:27,11:22,55
vsrv16,OPENVPN_L3,2017-10-03,10:33,11:24,51
vsrv16,OPENVPN_L3,2017-10-03,11:24,11:24,0
vsrv11,OPENVPN_L2,2017-10-03,11:19,11:29,10
vsrv16,SSTP,2017-10-03,10:28,11:29,61
vsrv16,PPTP,2017-10-03,11:02,11:30,28
vsrv17,SSTP,2017-10-03,10:21,11:33,72
vsrv17,SSTP,2017-10-03,10:44,11:34,50
vsrv8,SSTP,2017-10-03,11:30,11:34,4
vsrv17,SSTP,2017-10-03,11:20,11:34,14
vsrv16,SSTP,2017-10-03,10:13,11:35,82
