Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,SSTP,2017-10-24,12:48,12:49,1
vsrv11,PPTP,2017-10-24,12:36,12:50,14
vsrv16,SSTP,2017-10-24,10:22,12:50,148
vsrv17,SSTP,2017-10-24,10:17,12:50,153
vsrv8,SSTP,2017-10-24,11:49,12:50,61
vsrv17,SSTP,2017-10-24,12:00,12:50,50
vsrv17,SSTP,2017-10-24,11:48,12:51,63
vsrv16,SSTP,2017-10-24,12:13,12:51,38
vsrv16,PPTP,2017-10-24,12:11,12:52,41
vsrv8,SSTP,2017-10-24,12:53,12:54,1
vsrv16,PPTP,2017-10-24,10:27,12:55,148
vsrv8,PPTP,2017-10-24,10:18,12:55,157
vsrv17,SSTP,2017-10-24,10:40,12:55,135
vsrv8,PPTP,2017-10-24,10:13,12:56,163
vsrv8,PPTP,2017-10-24,12:07,12:56,49
vsrv11,OPENVPN_L2,2017-10-24,12:45,12:57,12
vsrv17,SSTP,2017-10-24,12:56,12:57,1
vsrv8,SSTP,2017-10-24,12:23,12:58,35
vsrv16,SSTP,2017-10-24,12:59,12:59,0
vsrv17,PPTP,2017-10-24,11:43,13:00,77
vsrv8,SSTP,2017-10-24,12:59,13:00,1
vsrv8,SSTP,2017-10-24,10:15,13:00,165
vsrv8,PPTP,2017-10-24,12:46,13:00,14
vsrv17,SSTP,2017-10-24,13:01,13:01,0
vsrv17,SSTP,2017-10-24,13:01,13:01,0
vsrv17,SSTP,2017-10-24,11:27,13:02,95
vsrv17,SSTP,2017-10-24,13:02,13:02,0
vsrv17,SSTP,2017-10-24,13:02,13:02,0
vsrv17,SSTP,2017-10-24,13:03,13:03,0
vsrv16,SSTP,2017-10-24,13:03,13:03,0
vsrv8,PPTP,2017-10-24,12:53,13:04,11
vsrv8,SSTP,2017-10-24,13:04,13:04,0
vsrv8,SSTP,2017-10-24,13:05,13:07,2
vsrv11,OPENVPN_L2,2017-10-24,13:03,13:07,4
vsrv16,SSTP,2017-10-24,13:08,13:08,0
vsrv16,SSTP,2017-10-24,13:08,13:08,0
vsrv11,OPENVPN_L3,2017-10-24,13:09,13:09,0
vsrv16,SSTP,2017-10-24,13:08,13:10,2
vsrv11,OPENVPN_L3,2017-10-24,13:10,13:11,1
vsrv8,PPTP,2017-10-24,12:47,13:11,24
vsrv11,OPENVPN_L3,2017-10-24,13:11,13:12,1
vsrv11,OPENVPN_L2,2017-10-24,13:02,13:13,11
vsrv11,OPENVPN_L3,2017-10-24,13:12,13:14,2
vsrv11,PPTP,2017-10-24,12:58,13:14,16
vsrv16,SSTP,2017-10-24,13:13,13:18,5
vsrv8,PPTP,2017-10-24,12:59,13:21,22
vsrv11,OPENVPN_L3,2017-10-24,13:18,13:21,3
vsrv17,SOFTETHER,2017-10-24,12:59,13:21,22
vsrv17,SOFTETHER,2017-10-24,12:52,13:23,31
vsrv11,OPENVPN_L3,2017-10-24,13:23,13:25,2
vsrv8,SSTP,2017-10-24,13:19,13:26,7
vsrv16,SOFTETHER,2017-10-24,13:23,13:26,3
vsrv8,SSTP,2017-10-24,13:30,13:30,0
vsrv16,SSTP,2017-10-24,13:31,13:32,1
vsrv17,SSTP,2017-10-24,13:32,13:35,3
vsrv11,OPENVPN_L3,2017-10-24,13:35,13:36,1
vsrv16,PPTP,2017-10-24,13:32,13:37,5
vsrv8,PPTP,2017-10-24,13:15,13:40,25
vsrv11,SSTP,2017-10-24,13:26,13:40,14
vsrv17,SSTP,2017-10-24,13:41,13:42,1
vsrv16,SSTP,2017-10-24,13:42,13:43,1
vsrv17,PPTP,2017-10-24,12:53,13:44,51
vsrv8,SOFTETHER,2017-10-24,13:26,13:44,18
vsrv17,PPTP,2017-10-24,13:42,13:45,3
vsrv17,PPTP,2017-10-24,13:06,13:45,39
vsrv16,PPTP,2017-10-24,13:43,13:45,2
vsrv11,OPENVPN_L3,2017-10-24,13:43,13:46,3
vsrv8,SSTP,2017-10-24,13:47,13:47,0
vsrv11,OPENVPN_L3,2017-10-24,13:47,13:48,1
vsrv17,PPTP,2017-10-24,13:48,13:48,0
vsrv16,PPTP,2017-10-24,13:49,13:49,0
vsrv11,OPENVPN_L3,2017-10-24,13:50,13:50,0
vsrv11,OPENVPN_L3,2017-10-24,13:50,13:50,0
vsrv11,OPENVPN_L3,2017-10-24,13:51,13:51,0
vsrv11,OPENVPN_L3,2017-10-24,13:51,13:52,1
vsrv11,OPENVPN_L3,2017-10-24,13:58,13:58,0
vsrv8,SSTP,2017-10-24,13:34,13:58,24
vsrv16,PPTP,2017-10-24,13:54,13:59,5
vsrv11,OPENVPN_L3,2017-10-24,13:58,13:59,1
vsrv11,OPENVPN_L3,2017-10-24,13:59,14:00,1
vsrv8,SSTP,2017-10-24,13:41,14:00,19
vsrv17,SSTP,2017-10-24,14:00,14:01,1
vsrv16,SSTP,2017-10-24,07:52,14:05,373
vsrv11,OPENVPN_L3,2017-10-24,14:09,14:09,0
vsrv8,SSTP,2017-10-24,14:00,14:10,10
vsrv8,SSTP,2017-10-24,13:57,14:11,14
vsrv16,OPENVPN_L2,2017-10-24,14:04,14:11,7
vsrv16,OPENVPN_L3,2017-10-24,14:00,14:11,11
vsrv11,OPENVPN_L2,2017-10-24,14:03,14:11,8
vsrv8,SSTP,2017-10-24,13:59,14:13,14
vsrv17,PPTP,2017-10-24,13:08,14:15,67
vsrv16,SSTP,2017-10-24,14:13,14:15,2
vsrv17,SOFTETHER,2017-10-24,13:13,14:15,62
vsrv11,PPTP,2017-10-24,13:35,14:16,41
vsrv8,SSTP,2017-10-24,14:16,14:17,1
vsrv11,OPENVPN_L3,2017-10-24,14:19,14:19,0
vsrv16,SSTP,2017-10-24,14:19,14:21,2
vsrv17,SOFTETHER,2017-10-24,14:20,14:21,1
vsrv17,SSTP,2017-10-24,14:21,14:21,0
vsrv16,SSTP,2017-10-24,14:20,14:22,2
vsrv8,SSTP,2017-10-24,14:22,14:23,1
vsrv11,OPENVPN_L3,2017-10-24,14:24,14:25,1
vsrv17,SSTP,2017-10-24,14:25,14:26,1
vsrv17,SSTP,2017-10-24,14:28,14:30,2
vsrv16,SSTP,2017-10-24,14:25,14:31,6
vsrv17,SSTP,2017-10-24,14:31,14:32,1
vsrv17,SSTP,2017-10-24,14:01,14:34,33
vsrv8,SSTP,2017-10-24,14:32,14:34,2
vsrv8,SSTP,2017-10-24,13:03,14:35,92
vsrv16,SSTP,2017-10-24,14:34,14:35,1
vsrv11,OPENVPN_L3,2017-10-24,14:26,14:35,9
vsrv17,SSTP,2017-10-24,14:34,14:37,3
vsrv16,SSTP,2017-10-24,14:24,14:39,15
vsrv17,SSTP,2017-10-24,14:39,14:39,0
vsrv8,PPTP,2017-10-24,14:23,14:40,17
vsrv16,PPTP,2017-10-24,13:43,14:43,60
vsrv8,PPTP,2017-10-24,10:35,14:43,248
