Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv17,SSTP,2017-11-02,15:23,15:59,36
vsrv16,PPTP,2017-11-02,15:44,16:00,16
vsrv8,SSTP,2017-11-02,15:01,16:00,59
vsrv8,SSTP,2017-11-02,14:34,16:00,86
vsrv11,PPTP,2017-11-02,15:53,16:00,7
vsrv8,PPTP,2017-11-02,14:54,16:00,66
vsrv17,OPENVPN_L2,2017-11-02,16:00,16:00,0
vsrv17,PPTP,2017-11-02,14:20,16:00,100
vsrv17,SSTP,2017-11-02,14:29,16:01,92
vsrv17,PPTP,2017-11-02,15:27,16:02,35
vsrv17,PPTP,2017-11-02,15:18,16:03,45
vsrv11,PPTP,2017-11-02,14:46,16:03,77
vsrv17,SSTP,2017-11-02,14:36,16:03,87
vsrv11,PPTP,2017-11-02,16:06,16:13,7
vsrv16,SSTP,2017-11-02,15:59,16:15,16
vsrv17,SSTP,2017-11-02,14:58,16:16,78
vsrv8,PPTP,2017-11-02,15:46,16:16,30
vsrv17,PPTP,2017-11-02,14:34,16:19,105
vsrv8,PPTP,2017-11-02,15:43,16:19,36
vsrv17,PPTP,2017-11-02,14:18,16:22,124
vsrv8,SSTP,2017-11-02,16:18,16:22,4
vsrv11,PPTP,2017-11-02,13:53,16:28,155
vsrv17,SSTP,2017-11-02,16:22,16:28,6
vsrv17,PPTP,2017-11-02,16:23,16:31,8
vsrv8,SSTP,2017-11-02,16:02,16:31,29
vsrv16,PPTP,2017-11-02,13:55,16:33,158
vsrv8,PPTP,2017-11-02,16:33,16:35,2
vsrv8,PPTP,2017-11-02,15:47,16:37,50
vsrv16,PPTP,2017-11-02,14:10,16:40,150
vsrv16,SSTP,2017-11-02,16:20,16:42,22
vsrv16,SSTP,2017-11-02,14:56,16:47,111
vsrv17,PPTP,2017-11-02,16:37,16:50,13
vsrv8,PPTP,2017-11-02,16:38,16:51,13
vsrv17,PPTP,2017-11-02,13:33,16:55,202
vsrv16,PPTP,2017-11-02,16:42,16:56,14
vsrv8,PPTP,2017-11-02,16:51,16:58,7
vsrv16,PPTP,2017-11-02,16:58,16:59,1
vsrv8,PPTP,2017-11-02,16:23,17:00,37
vsrv16,PPTP,2017-11-02,16:20,17:00,40
vsrv8,SSTP,2017-11-02,16:23,17:02,39
vsrv11,OPENVPN_L2,2017-11-02,17:02,17:05,3
vsrv17,SSTP,2017-11-02,16:15,17:06,51
vsrv8,PPTP,2017-11-02,16:32,17:10,38
vsrv17,SSTP,2017-11-02,16:47,17:11,24
vsrv16,SSTP,2017-11-02,15:51,17:12,81
vsrv8,SSTP,2017-11-02,13:25,17:14,229
vsrv16,SSTP,2017-11-02,15:17,17:16,119
vsrv8,PPTP,2017-11-02,17:19,17:20,1
vsrv8,SSTP,2017-11-02,17:17,17:23,6
vsrv8,PPTP,2017-11-02,15:10,17:23,133
vsrv16,SSTP,2017-11-02,17:08,17:26,18
vsrv16,SSTP,2017-11-02,16:20,17:29,69
vsrv16,SSTP,2017-11-02,17:12,17:30,18
vsrv8,SSTP,2017-11-02,17:26,17:30,4
vsrv8,PPTP,2017-11-02,16:13,17:31,78
vsrv8,PPTP,2017-11-02,17:30,17:32,2
vsrv11,SOFTETHER,2017-11-02,16:48,17:33,45
vsrv8,SSTP,2017-11-02,16:33,17:36,63
vsrv11,SSTP,2017-11-02,16:30,17:36,66
vsrv8,SSTP,2017-11-02,17:16,17:42,26
vsrv8,SSTP,2017-11-02,16:28,17:43,75
vsrv16,PPTP,2017-11-02,15:43,17:44,121
vsrv17,SSTP,2017-11-02,16:33,17:44,71
vsrv17,SSTP,2017-11-02,16:27,17:47,80
vsrv8,SSTP,2017-11-02,15:40,17:48,128
vsrv8,SSTP,2017-11-02,17:47,17:48,1
vsrv17,SSTP,2017-11-02,14:06,17:49,223
vsrv16,PPTP,2017-11-02,16:47,17:50,63
vsrv8,PPTP,2017-11-02,16:59,17:50,51
vsrv16,SSTP,2017-11-02,16:13,17:53,100
vsrv11,OPENVPN_L2,2017-11-02,17:05,17:53,48
vsrv8,SSTP,2017-11-02,17:54,17:55,1
vsrv17,OPENVPN_L2,2017-11-02,16:45,17:56,71
vsrv16,PPTP,2017-11-02,16:20,17:56,96
vsrv16,SSTP,2017-11-02,16:20,17:56,96
vsrv8,SSTP,2017-11-02,16:29,17:57,88
vsrv8,SSTP,2017-11-02,17:51,17:58,7
vsrv8,SSTP,2017-11-02,16:30,17:58,88
vsrv16,SSTP,2017-11-02,16:35,17:59,84
vsrv8,SSTP,2017-11-02,16:37,17:59,82
vsrv17,SSTP,2017-11-02,16:37,17:59,82
vsrv16,SSTP,2017-11-02,16:27,18:00,93
vsrv8,SOFTETHER,2017-11-02,17:22,18:00,38
vsrv17,SSTP,2017-11-02,16:36,18:00,84
vsrv17,SSTP,2017-11-02,16:28,18:00,92
