Servidor, Protocolo, Data_Hora_Ini, Data_Hora_End, Duracao
"vsrv11","SOFTETHER","2016-12-25 08:38:00","2016-12-25 10:43:00",125
"vsrv8","PPTP","2016-12-25 11:43:00","2016-12-25 13:04:00",81
"vsrv17","SSTP","2016-12-25 12:55:00","2016-12-25 13:57:00",62
"vsrv16","PPTP","2016-12-25 14:11:00","2016-12-25 14:15:00",4
"vsrv16","SSTP","2016-12-25 15:00:00","2016-12-25 15:04:00",4
"vsrv17","PPTP","2016-12-25 15:31:00","2016-12-25 15:36:00",5
"vsrv17","PPTP","2016-12-25 15:17:00","2016-12-25 15:48:00",31
"vsrv8","PPTP","2016-12-25 15:57:00","2016-12-25 16:01:00",4
"vsrv16","PPTP","2016-12-25 16:25:00","2016-12-25 17:00:00",35
"vsrv16","PPTP","2016-12-25 15:00:00","2016-12-25 17:07:00",127
"vsrv16","PPTP","2016-12-25 16:07:00","2016-12-25 17:38:00",91
"vsrv8","PPTP","2016-12-25 17:12:00","2016-12-25 17:44:00",32
"vsrv16","PPTP","2016-12-25 17:54:00","2016-12-25 18:28:00",34
"vsrv17","PPTP","2016-12-25 11:28:00","2016-12-25 18:53:00",445
"vsrv8","SSTP","2016-12-25 18:24:00","2016-12-25 19:39:00",75
"vsrv17","SSTP","2016-12-25 19:45:00","2016-12-25 19:45:00",0
"vsrv17","PPTP","2016-12-25 19:05:00","2016-12-25 19:57:00",52
"vsrv17","SSTP","2016-12-25 16:30:00","2016-12-25 20:43:00",253
"vsrv17","PPTP","2016-12-25 19:56:00","2016-12-25 20:56:00",60
"vsrv16","SSTP","2016-12-25 19:39:00","2016-12-25 21:01:00",82
"vsrv8","PPTP","2016-12-25 20:57:00","2016-12-25 21:16:00",19
"vsrv16","PPTP","2016-12-25 21:25:00","2016-12-25 21:48:00",23
"vsrv11","SOFTETHER","2016-12-25 21:10:00","2016-12-25 22:21:00",71
"vsrv11","SOFTETHER","2016-12-25 22:22:00","2016-12-25 22:23:00",1
"vsrv11","PPTP","2016-12-25 21:35:00","2016-12-25 22:42:00",67
"vsrv8","PPTP","2016-12-25 20:05:00","2016-12-25 23:14:00",189
"vsrv17","SSTP","2016-12-25 14:55:00","2016-12-25 23:45:00",530
"vsrv8","SSTP","2016-12-25 20:01:00","2016-12-25 23:47:00",226
"vsrv17","SSTP","2016-12-25 21:15:00","2016-12-25 23:54:00",159
"vsrv17","SSTP","2016-12-25 18:14:00","2016-12-25 23:56:00",342
"vsrv16","PPTP","2016-12-25 23:57:00","2016-12-26 01:06:00",69
"vsrv8","PPTP","2016-12-26 01:11:00","2016-12-26 01:20:00",9
"vsrv16","PPTP","2016-12-26 01:05:00","2016-12-26 01:33:00",28
"vsrv8","PPTP","2016-12-26 01:32:00","2016-12-26 01:43:00",11
"vsrv17","PPTP","2016-12-25 23:08:00","2016-12-26 01:47:00",159
"vsrv17","PPTP","2016-12-26 00:43:00","2016-12-26 02:07:00",84
"vsrv8","PPTP","2016-12-26 00:31:00","2016-12-26 02:24:00",113
