Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,OPENVPN_L2,2017-11-11,19:22,19:24,2
vsrv17,SSTP,2017-11-11,19:26,19:26,0
vsrv17,SSTP,2017-11-11,19:26,19:26,0
vsrv8,SSTP,2017-11-11,16:21,19:26,185
vsrv16,PPTP,2017-11-11,15:50,19:27,217
vsrv17,PPTP,2017-11-11,19:10,19:27,17
vsrv16,SSTP,2017-11-11,19:07,19:27,20
vsrv17,PPTP,2017-11-11,19:02,19:27,25
vsrv8,SSTP,2017-11-11,19:27,19:27,0
vsrv8,SSTP,2017-11-11,19:28,19:28,0
vsrv17,PPTP,2017-11-11,14:12,19:28,316
vsrv8,PPTP,2017-11-11,13:52,19:29,337
vsrv16,OPENVPN_L2,2017-11-11,19:29,19:29,0
vsrv8,PPTP,2017-11-11,14:36,19:29,293
vsrv17,SSTP,2017-11-11,18:17,19:30,73
vsrv8,PPTP,2017-11-11,17:58,19:31,93
vsrv8,SSTP,2017-11-11,17:38,19:31,113
vsrv16,SSTP,2017-11-11,19:32,19:32,0
vsrv16,SSTP,2017-11-11,19:08,19:32,24
vsrv8,PPTP,2017-11-11,18:45,19:32,47
vsrv11,SSTP,2017-11-11,18:22,19:33,71
vsrv8,SSTP,2017-11-11,19:33,19:33,0
vsrv16,PPTP,2017-11-11,19:19,19:34,15
vsrv8,PPTP,2017-11-11,18:36,19:34,58
vsrv17,SSTP,2017-11-11,17:02,19:35,153
vsrv8,SSTP,2017-11-11,14:59,19:35,276
vsrv8,SSTP,2017-11-11,18:05,19:36,91
vsrv16,SSTP,2017-11-11,14:13,19:36,323
vsrv16,SSTP,2017-11-11,16:27,19:37,190
vsrv8,SSTP,2017-11-11,18:08,19:38,90
vsrv16,PPTP,2017-11-11,18:42,19:39,57
vsrv17,SSTP,2017-11-11,19:42,19:42,0
vsrv17,SSTP,2017-11-11,13:24,19:43,379
vsrv17,SSTP,2017-11-11,13:25,19:43,378
vsrv16,OPENVPN_L2,2017-11-11,19:25,19:43,18
vsrv16,SSTP,2017-11-11,19:43,19:43,0
vsrv17,SSTP,2017-11-11,18:10,19:45,95
vsrv8,SSTP,2017-11-11,18:50,19:46,56
vsrv8,SSTP,2017-11-11,18:28,19:47,79
vsrv8,PPTP,2017-11-11,19:20,19:48,28
vsrv16,PPTP,2017-11-11,19:43,19:48,5
vsrv8,PPTP,2017-11-11,19:33,19:48,15
vsrv16,PPTP,2017-11-11,16:57,19:49,172
vsrv16,PPTP,2017-11-11,19:34,19:50,16
vsrv16,SSTP,2017-11-11,19:19,19:50,31
vsrv17,SSTP,2017-11-11,18:38,19:52,74
vsrv17,SSTP,2017-11-11,15:25,19:53,268
vsrv8,PPTP,2017-11-11,19:05,19:53,48
vsrv17,PPTP,2017-11-11,17:25,19:53,148
vsrv16,PPTP,2017-11-11,17:13,19:55,162
vsrv16,SSTP,2017-11-11,14:38,19:55,317
vsrv8,SSTP,2017-11-11,19:53,19:56,3
vsrv8,SSTP,2017-11-11,19:00,19:57,57
vsrv17,PPTP,2017-11-11,19:55,19:58,3
vsrv8,PPTP,2017-11-11,15:14,19:58,284
vsrv17,SSTP,2017-11-11,19:23,19:59,36
vsrv17,PPTP,2017-11-11,17:09,20:01,172
vsrv16,SSTP,2017-11-11,20:01,20:01,0
vsrv8,PPTP,2017-11-11,19:04,20:01,57
vsrv8,PPTP,2017-11-11,20:01,20:02,1
vsrv8,PPTP,2017-11-11,19:05,20:02,57
vsrv8,SSTP,2017-11-11,16:04,20:03,239
vsrv16,PPTP,2017-11-11,19:51,20:04,13
vsrv17,SSTP,2017-11-11,19:33,20:06,33
vsrv17,SSTP,2017-11-11,17:28,20:08,160
vsrv16,SSTP,2017-11-11,19:12,20:08,56
vsrv16,SSTP,2017-11-11,20:08,20:08,0
vsrv8,SSTP,2017-11-11,19:17,20:12,55
vsrv8,SSTP,2017-11-11,15:30,20:13,283
vsrv17,SSTP,2017-11-11,19:57,20:15,18
vsrv17,SSTP,2017-11-11,13:50,20:15,385
vsrv8,SSTP,2017-11-11,18:29,20:16,107
