Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,SSTP,2017-11-22,12:23,12:24,1
vsrv16,PPTP,2017-11-22,11:45,12:27,42
vsrv17,SSTP,2017-11-22,12:31,12:33,2
vsrv8,PPTP,2017-11-22,12:27,12:34,7
vsrv17,PPTP,2017-11-22,10:48,12:34,106
vsrv17,PPTP,2017-11-22,12:34,12:34,0
vsrv8,SSTP,2017-11-22,12:23,12:34,11
vsrv17,PPTP,2017-11-22,10:30,12:34,124
vsrv16,PPTP,2017-11-22,11:51,12:37,46
vsrv16,PPTP,2017-11-22,12:13,12:38,25
vsrv17,PPTP,2017-11-22,12:34,12:39,5
vsrv16,PPTP,2017-11-22,11:24,12:40,76
vsrv17,SSTP,2017-11-22,11:22,12:40,78
vsrv8,SSTP,2017-11-22,12:23,12:40,17
vsrv8,SSTP,2017-11-22,10:20,12:41,141
vsrv17,PPTP,2017-11-22,10:24,12:41,137
vsrv17,PPTP,2017-11-22,10:43,12:42,119
vsrv17,SSTP,2017-11-22,10:34,12:42,128
vsrv17,PPTP,2017-11-22,10:58,12:43,105
vsrv17,SSTP,2017-11-22,10:16,12:43,147
vsrv16,PPTP,2017-11-22,10:20,12:43,143
vsrv8,SSTP,2017-11-22,10:18,12:43,145
vsrv17,SSTP,2017-11-22,10:19,12:44,145
vsrv8,SSTP,2017-11-22,12:35,12:44,9
vsrv16,SSTP,2017-11-22,12:22,12:45,23
vsrv16,PPTP,2017-11-22,12:00,12:45,45
vsrv8,SSTP,2017-11-22,10:59,12:46,107
vsrv17,PPTP,2017-11-22,10:58,12:46,108
vsrv16,SSTP,2017-11-22,11:14,12:46,92
vsrv8,PPTP,2017-11-22,10:58,12:46,108
vsrv8,PPTP,2017-11-22,11:12,12:46,94
vsrv8,PPTP,2017-11-22,12:35,12:46,11
vsrv16,PPTP,2017-11-22,10:10,12:47,157
vsrv17,PPTP,2017-11-22,10:33,12:48,135
vsrv8,PPTP,2017-11-22,11:49,12:48,59
vsrv17,SSTP,2017-11-22,11:28,12:49,81
vsrv8,PPTP,2017-11-22,10:34,12:50,136
vsrv17,SSTP,2017-11-22,12:12,12:51,39
vsrv16,SSTP,2017-11-22,11:28,12:54,86
vsrv16,SSTP,2017-11-22,11:24,12:54,90
vsrv8,PPTP,2017-11-22,11:54,12:55,61
vsrv16,SSTP,2017-11-22,12:01,12:55,54
vsrv8,PPTP,2017-11-22,11:51,12:55,64
vsrv8,PPTP,2017-11-22,12:21,12:55,34
vsrv8,PPTP,2017-11-22,12:51,12:56,5
vsrv11,SOFTETHER,2017-11-22,10:08,12:56,168
vsrv8,PPTP,2017-11-22,12:36,12:56,20
vsrv16,SSTP,2017-11-22,11:47,12:57,70
vsrv16,SSTP,2017-11-22,10:59,12:59,120
vsrv16,PPTP,2017-11-22,10:17,13:01,164
vsrv8,SSTP,2017-11-22,12:54,13:03,9
vsrv11,PPTP,2017-11-22,12:14,13:12,58
vsrv16,PPTP,2017-11-22,12:58,13:13,15
vsrv16,SSTP,2017-11-22,12:59,13:15,16
vsrv11,OPENVPN_L3,2017-11-22,13:16,13:17,1
vsrv11,OPENVPN_L3,2017-11-22,13:19,13:24,5
vsrv11,OPENVPN_L3,2017-11-22,13:31,13:32,1
vsrv8,SSTP,2017-11-22,13:31,13:32,1
vsrv16,SSTP,2017-11-22,13:32,13:35,3
vsrv11,OPENVPN_L3,2017-11-22,13:42,13:42,0
vsrv16,PPTP,2017-11-22,13:30,13:48,18
vsrv11,OPENVPN_L3,2017-11-22,13:52,13:53,1
vsrv11,OPENVPN_L3,2017-11-22,13:53,13:53,0
vsrv17,SSTP,2017-11-22,13:35,13:54,19
vsrv16,PPTP,2017-11-22,13:48,13:55,7
vsrv11,OPENVPN_L3,2017-11-22,13:54,13:55,1
vsrv11,OPENVPN_L3,2017-11-22,13:57,13:57,0
vsrv16,PPTP,2017-11-22,13:58,13:58,0
vsrv11,OPENVPN_L3,2017-11-22,14:01,14:02,1
vsrv11,OPENVPN_L2,2017-11-22,14:02,14:05,3
vsrv17,SSTP,2017-11-22,13:58,14:07,9
vsrv16,SSTP,2017-11-22,13:48,14:11,23
vsrv11,OPENVPN_L3,2017-11-22,14:12,14:12,0
vsrv16,PPTP,2017-11-22,14:06,14:18,12
vsrv16,PPTP,2017-11-22,14:20,14:20,0
vsrv11,OPENVPN_L3,2017-11-22,14:22,14:22,0
vsrv8,PPTP,2017-11-22,14:21,14:26,5
vsrv16,SSTP,2017-11-22,14:24,14:27,3
vsrv11,OPENVPN_L2,2017-11-22,14:24,14:27,3
vsrv17,SSTP,2017-11-22,14:00,14:28,28
vsrv8,SSTP,2017-11-22,14:29,14:32,3
vsrv11,OPENVPN_L3,2017-11-22,14:33,14:33,0
vsrv8,SSTP,2017-11-22,14:32,14:34,2
vsrv17,SSTP,2017-11-22,14:33,14:37,4
vsrv8,OPENVPN_L2,2017-11-22,14:31,14:41,10
vsrv11,OPENVPN_L3,2017-11-22,14:43,14:44,1
vsrv8,PPTP,2017-11-22,12:44,14:46,122
vsrv17,SSTP,2017-11-22,14:39,14:46,7
vsrv17,SSTP,2017-11-22,14:45,14:46,1
vsrv16,SSTP,2017-11-22,14:48,14:49,1
vsrv16,PPTP,2017-11-22,14:50,14:51,1
vsrv17,SSTP,2017-11-22,14:47,14:52,5
vsrv17,PPTP,2017-11-22,14:46,14:59,13
vsrv17,SSTP,2017-11-22,14:53,14:59,6
vsrv8,SSTP,2017-11-22,12:36,15:02,146
vsrv16,SSTP,2017-11-22,15:04,15:04,0
vsrv11,OPENVPN_L3,2017-11-22,15:08,15:09,1
vsrv17,SSTP,2017-11-22,14:53,15:09,16
vsrv16,SSTP,2017-11-22,14:54,15:10,16
vsrv8,SSTP,2017-11-22,14:46,15:12,26
vsrv11,SSTP,2017-11-22,14:51,15:21,30
vsrv11,OPENVPN_L3,2017-11-22,15:12,15:22,10
vsrv16,SSTP,2017-11-22,15:09,15:26,17
vsrv17,SSTP,2017-11-22,15:12,15:27,15
vsrv8,SSTP,2017-11-22,14:54,15:27,33
vsrv17,SSTP,2017-11-22,14:14,15:30,76
vsrv8,SSTP,2017-11-22,15:15,15:32,17
vsrv16,SSTP,2017-11-22,15:31,15:32,1
vsrv16,SSTP,2017-11-22,15:32,15:33,1
vsrv8,SSTP,2017-11-22,15:33,15:33,0
vsrv8,SSTP,2017-11-22,15:34,15:37,3
vsrv17,SSTP,2017-11-22,14:15,15:38,83
vsrv16,PPTP,2017-11-22,15:21,15:38,17
vsrv8,SSTP,2017-11-22,15:38,15:39,1
vsrv16,SSTP,2017-11-22,15:28,15:39,11
vsrv17,SSTP,2017-11-22,15:36,15:40,4
vsrv8,SSTP,2017-11-22,15:37,15:41,4
vsrv17,SSTP,2017-11-22,15:39,15:41,2
vsrv8,PPTP,2017-11-22,14:51,15:43,52
vsrv16,SSTP,2017-11-22,15:43,15:44,1
vsrv8,SSTP,2017-11-22,15:40,15:45,5
vsrv8,SSTP,2017-11-22,15:44,15:45,1
vsrv8,PPTP,2017-11-22,15:20,15:46,26
vsrv17,PPTP,2017-11-22,14:43,15:46,63
vsrv16,SSTP,2017-11-22,15:07,15:48,41
vsrv16,PPTP,2017-11-22,13:51,15:49,118
vsrv8,PPTP,2017-11-22,15:49,15:49,0
vsrv8,PPTP,2017-11-22,15:44,15:50,6
vsrv17,SSTP,2017-11-22,15:48,15:50,2
vsrv11,SSTP,2017-11-22,15:21,15:51,30
vsrv8,PPTP,2017-11-22,14:27,15:52,86
vsrv17,SSTP,2017-11-22,14:16,15:53,97
vsrv17,PPTP,2017-11-22,14:21,15:55,94
vsrv16,SSTP,2017-11-22,14:43,15:56,73
vsrv17,SSTP,2017-11-22,14:14,15:57,103
vsrv8,SSTP,2017-11-22,15:46,15:57,11
vsrv11,OPENVPN_L2,2017-11-22,14:28,15:58,90
vsrv8,SSTP,2017-11-22,14:21,15:58,97
vsrv16,PPTP,2017-11-22,14:30,15:59,89
vsrv16,SSTP,2017-11-22,13:46,16:03,137
vsrv8,PPTP,2017-11-22,15:56,16:04,8
vsrv16,PPTP,2017-11-22,14:21,16:05,104
vsrv16,SSTP,2017-11-22,14:12,16:06,114
vsrv17,PPTP,2017-11-22,14:50,16:07,77
vsrv17,PPTP,2017-11-22,16:00,16:08,8
vsrv11,SSTP,2017-11-22,15:51,16:10,19
vsrv17,SSTP,2017-11-22,15:58,16:10,12
vsrv8,PPTP,2017-11-22,16:04,16:17,13
vsrv8,PPTP,2017-11-22,16:18,16:18,0
vsrv16,PPTP,2017-11-22,15:16,16:19,63
vsrv11,OPENVPN_L3,2017-11-22,16:18,16:19,1
vsrv11,OPENVPN_L3,2017-11-22,16:20,16:20,0
vsrv11,OPENVPN_L2,2017-11-22,16:17,16:21,4
vsrv8,PPTP,2017-11-22,16:18,16:22,4
vsrv17,PPTP,2017-11-22,15:19,16:22,63
vsrv17,SSTP,2017-11-22,15:38,16:23,45
vsrv17,PPTP,2017-11-22,16:20,16:25,5
vsrv17,SSTP,2017-11-22,14:34,16:28,114
vsrv16,PPTP,2017-11-22,16:25,16:29,4
vsrv16,SSTP,2017-11-22,13:48,16:29,161
vsrv11,OPENVPN_L3,2017-11-22,16:29,16:29,0
vsrv17,SSTP,2017-11-22,16:23,16:30,7
vsrv17,PPTP,2017-11-22,14:33,16:31,118
vsrv17,SSTP,2017-11-22,16:32,16:32,0
vsrv16,PPTP,2017-11-22,13:31,16:32,181
vsrv8,PPTP,2017-11-22,16:32,16:36,4
vsrv16,SSTP,2017-11-22,15:38,16:38,60
vsrv11,OPENVPN_L3,2017-11-22,16:40,16:40,0
vsrv16,PPTP,2017-11-22,15:54,16:45,51
vsrv8,PPTP,2017-11-22,16:42,16:55,13
vsrv11,OPENVPN_L3,2017-11-22,16:56,16:56,0
vsrv16,SSTP,2017-11-22,14:18,16:57,159
vsrv8,SSTP,2017-11-22,16:58,16:59,1
vsrv16,SSTP,2017-11-22,16:31,17:01,30
vsrv16,SSTP,2017-11-22,16:06,17:01,55
vsrv11,OPENVPN_L3,2017-11-22,17:01,17:02,1
vsrv17,SSTP,2017-11-22,17:03,17:04,1
vsrv17,PPTP,2017-11-22,15:55,17:06,71
vsrv16,SSTP,2017-11-22,17:06,17:07,1
vsrv8,PPTP,2017-11-22,13:58,17:10,192
vsrv11,OPENVPN_L3,2017-11-22,17:11,17:13,2
vsrv8,SSTP,2017-11-22,16:52,17:14,22
vsrv17,SSTP,2017-11-22,15:37,17:20,103
vsrv17,SSTP,2017-11-22,17:12,17:23,11
vsrv11,OPENVPN_L3,2017-11-22,17:24,17:24,0
vsrv16,PPTP,2017-11-22,16:41,17:25,44
vsrv8,SSTP,2017-11-22,16:32,17:30,58
vsrv16,SSTP,2017-11-22,15:45,17:32,107
vsrv11,OPENVPN_L2,2017-11-22,16:23,17:32,69
vsrv8,SSTP,2017-11-22,16:44,17:33,49
vsrv8,PPTP,2017-11-22,08:33,17:33,540
vsrv11,OPENVPN_L3,2017-11-22,17:25,17:35,10
vsrv17,SSTP,2017-11-22,17:30,17:36,6
vsrv8,SSTP,2017-11-22,17:37,17:37,0
vsrv11,OPENVPN_L3,2017-11-22,17:35,17:38,3
vsrv11,OPENVPN_L3,2017-11-22,17:38,17:41,3
vsrv11,OPENVPN_L3,2017-11-22,17:42,17:42,0
vsrv17,SSTP,2017-11-22,17:41,17:42,1
vsrv17,PPTP,2017-11-22,16:18,17:44,86
vsrv16,SSTP,2017-11-22,17:43,17:46,3
vsrv11,OPENVPN_L3,2017-11-22,17:48,17:48,0
vsrv17,SSTP,2017-11-22,17:46,17:49,3
vsrv16,SSTP,2017-11-22,15:24,17:53,149
vsrv17,PPTP,2017-11-22,16:48,17:54,66
