Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv16,SSTP,2017-12-07,23:56,00:00,4
vsrv8,PPTP,2017-12-07,20:59,00:02,183
vsrv16,SSTP,2017-12-07,23:48,00:04,16
vsrv16,SSTP,2017-12-07,21:31,00:06,155
vsrv8,SSTP,2017-12-07,22:00,00:10,130
vsrv8,PPTP,2017-12-08,00:01,00:11,10
vsrv17,SSTP,2017-12-07,23:08,00:13,65
vsrv8,PPTP,2017-12-07,21:24,00:13,169
vsrv17,OPENVPN_L2,2017-12-08,00:10,00:15,5
vsrv8,SSTP,2017-12-07,20:04,00:18,254
vsrv16,SSTP,2017-12-07,22:39,00:19,100
vsrv17,PPTP,2017-12-07,22:34,00:21,107
vsrv17,SSTP,2017-12-08,00:05,00:25,20
vsrv17,SSTP,2017-12-08,00:04,00:25,21
vsrv17,PPTP,2017-12-08,00:07,00:25,18
vsrv8,SSTP,2017-12-07,22:31,00:29,118
vsrv8,PPTP,2017-12-07,21:38,00:30,172
vsrv16,SSTP,2017-12-07,22:25,00:30,125
vsrv11,PPTP,2017-12-08,00:03,00:34,31
vsrv8,OPENVPN_L2,2017-12-08,00:39,00:39,0
vsrv8,SSTP,2017-12-07,21:59,00:41,162
vsrv8,SSTP,2017-12-08,00:42,00:42,0
vsrv8,PPTP,2017-12-07,19:07,00:44,337
vsrv16,PPTP,2017-12-07,22:09,00:46,157
vsrv16,PPTP,2017-12-07,22:51,00:49,118
vsrv8,SSTP,2017-12-07,22:22,00:57,155
vsrv8,SSTP,2017-12-08,00:42,00:59,17
vsrv8,PPTP,2017-12-08,00:32,00:59,27
vsrv16,SSTP,2017-12-07,23:32,01:00,88
vsrv17,SSTP,2017-12-07,22:26,01:03,157
vsrv17,SSTP,2017-12-08,00:55,01:04,9
vsrv17,SSTP,2017-12-07,23:59,01:07,68
vsrv16,PPTP,2017-12-08,00:44,01:09,25
vsrv17,PPTP,2017-12-08,01:12,01:13,1
vsrv8,PPTP,2017-12-07,23:43,01:14,91
vsrv8,SSTP,2017-12-08,01:15,01:16,1
vsrv16,SSTP,2017-12-08,01:16,01:17,1
vsrv8,PPTP,2017-12-07,23:43,01:17,94
vsrv8,PPTP,2017-12-08,00:45,01:19,34
vsrv16,SSTP,2017-12-08,01:16,01:19,3
vsrv8,SSTP,2017-12-07,22:31,01:21,170
vsrv8,PPTP,2017-12-07,23:47,01:21,94
vsrv8,SSTP,2017-12-07,23:58,01:21,83
vsrv17,PPTP,2017-12-07,23:21,01:24,123
vsrv8,SSTP,2017-12-08,01:28,01:30,2
vsrv8,SSTP,2017-12-07,23:18,01:31,133
vsrv16,PPTP,2017-12-08,01:02,01:32,30
vsrv8,SSTP,2017-12-08,00:15,01:33,78
vsrv8,OPENVPN_L2,2017-12-08,00:15,01:34,79
vsrv17,SSTP,2017-12-08,00:16,01:38,82
vsrv16,SSTP,2017-12-07,21:19,01:41,262
vsrv8,SSTP,2017-12-08,01:06,01:43,37
vsrv16,SSTP,2017-12-08,01:37,01:45,8
vsrv8,PPTP,2017-12-07,23:27,01:46,139
vsrv16,SSTP,2017-12-07,22:52,01:47,175
vsrv8,SSTP,2017-12-08,01:17,01:49,32
vsrv16,PPTP,2017-12-08,00:49,01:52,63
vsrv16,PPTP,2017-12-07,21:42,01:52,250
vsrv17,SSTP,2017-12-08,00:28,01:56,88
vsrv17,SSTP,2017-12-07,16:02,01:56,594
vsrv8,PPTP,2017-12-08,00:36,01:56,80
vsrv16,PPTP,2017-12-08,01:44,01:59,15
vsrv17,SSTP,2017-12-07,20:30,02:01,331
vsrv16,PPTP,2017-12-08,00:45,02:03,78
vsrv8,SSTP,2017-12-08,01:45,02:04,19
vsrv17,PPTP,2017-12-08,01:16,02:06,50
vsrv16,PPTP,2017-12-07,23:15,02:09,174
vsrv8,PPTP,2017-12-08,00:07,02:16,129
vsrv8,SSTP,2017-12-08,01:30,02:16,46
vsrv16,SSTP,2017-12-07,21:48,02:17,269
vsrv17,SSTP,2017-12-07,23:48,02:22,154
