Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv10,SSTP,2018-01-04,10:33,10:42,9
vsrv10,SSTP,2018-01-04,10:44,10:47,3
vsrv16,SSTP,2018-01-04,10:55,10:58,3
vsrv17,PPTP,2018-01-04,11:03,11:05,2
vsrv8,SSTP,2018-01-04,10:56,11:07,11
vsrv8,PPTP,2018-01-04,10:06,11:13,67
vsrv10,PPTP,2018-01-04,11:15,11:25,10
vsrv16,SSTP,2018-01-04,10:42,11:29,47
vsrv11,PPTP,2018-01-04,09:50,11:32,102
vsrv8,SSTP,2018-01-04,11:25,11:37,12
vsrv11,OPENVPN_L2,2018-01-04,10:17,11:39,82
vsrv8,SSTP,2018-01-04,11:25,11:40,15
vsrv16,SSTP,2018-01-04,11:07,11:45,38
vsrv8,SSTP,2018-01-04,10:53,11:45,52
vsrv10,PPTP,2018-01-04,10:27,11:55,88
vsrv17,PPTP,2018-01-04,11:00,12:01,61
vsrv10,SSTP,2018-01-04,11:46,12:05,19
vsrv16,SSTP,2018-01-04,11:43,12:07,24
vsrv10,SSTP,2018-01-04,09:03,12:10,187
vsrv16,OPENVPN_L2,2018-01-04,12:03,12:14,11
vsrv16,PPTP,2018-01-04,11:09,12:16,67
vsrv17,PPTP,2018-01-04,09:37,12:21,164
vsrv17,SSTP,2018-01-04,12:23,12:23,0
vsrv17,SSTP,2018-01-04,10:07,12:27,140
vsrv8,SSTP,2018-01-04,10:42,12:31,109
vsrv17,PPTP,2018-01-04,11:53,12:33,40
vsrv10,PPTP,2018-01-04,12:28,12:33,5
vsrv8,SSTP,2018-01-04,08:19,12:35,256
vsrv11,OPENVPN_L2,2018-01-04,12:15,12:35,20
vsrv8,SSTP,2018-01-04,11:00,12:39,99
vsrv10,PPTP,2018-01-04,10:27,12:40,133
vsrv8,SSTP,2018-01-04,10:44,12:42,118
vsrv11,SOFTETHER,2018-01-04,07:56,12:50,294
vsrv16,OPENVPN_L2,2018-01-04,12:56,12:57,1
vsrv16,PPTP,2018-01-04,12:32,12:57,25
vsrv11,SOFTETHER,2018-01-04,12:50,13:06,16
vsrv10,SSTP,2018-01-04,12:10,13:13,63
vsrv8,SSTP,2018-01-04,03:08,13:21,613
vsrv16,SSTP,2018-01-04,12:07,13:35,88
vsrv16,OPENVPN_L2,2018-01-04,13:05,13:38,33
vsrv8,SSTP,2018-01-04,13:39,13:39,0
vsrv8,PPTP,2018-01-04,13:35,13:41,6
vsrv8,SSTP,2018-01-04,13:21,13:54,33
vsrv10,SSTP,2018-01-04,13:54,13:56,2
