Servidor,Protocolo,Data,HoraInicio,HoraFim,Duracao
vsrv10,PPTP,2018-01-31,12:23,13:35,72
vsrv8,PPTP,2018-01-31,13:04,14:15,71
vsrv10,SSTP,2018-01-31,13:58,14:29,31
vsrv10,SSTP,2018-01-31,13:28,14:38,70
vsrv16,PPTP,2018-01-31,14:45,14:46,2
vsrv11,OPENVPN_L2,2018-01-31,14:27,14:49,22
vsrv16,PPTP,2018-01-31,14:14,14:55,41
vsrv17,SSTP,2018-01-31,14:55,14:58,3
vsrv10,SSTP,2018-01-31,15:03,15:05,2
vsrv16,SSTP,2018-01-31,15:13,15:13,0
vsrv17,SSTP,2018-01-31,15:15,15:22,7
vsrv17,PPTP,2018-01-31,15:22,15:28,6
vsrv8,PPTP,2018-01-31,15:56,16:12,16
vsrv10,SSTP,2018-01-31,13:15,16:34,199
vsrv17,PPTP,2018-01-31,16:04,16:39,35
vsrv16,PPTP,2018-01-31,14:44,16:48,124
vsrv10,SSTP,2018-01-31,16:18,16:56,38
vsrv16,SSTP,2018-01-31,16:31,17:18,47
vsrv16,PPTP,2018-01-31,16:25,17:22,57
vsrv8,SSTP,2018-01-31,17:13,17:29,16
vsrv8,SSTP,2018-01-31,16:11,17:44,93
vsrv10,SSTP,2018-01-31,17:48,17:49,1
vsrv10,PPTP,2018-01-31,16:02,17:49,107
vsrv11,SSTP,2018-01-31,17:41,17:52,11
vsrv11,SSTP,2018-01-31,09:35,18:04,509
vsrv11,PPTP,2018-01-31,17:54,18:07,13
vsrv17,SSTP,2018-01-31,17:49,18:13,24
vsrv17,PPTP,2018-01-31,17:02,18:31,89
vsrv8,SSTP,2018-01-31,16:55,18:31,96
vsrv8,PPTP,2018-01-31,16:37,18:37,120
vsrv16,SSTP,2018-01-31,12:36,19:02,386
vsrv10,PPTP,2018-01-31,17:00,19:24,144
vsrv16,PPTP,2018-01-31,18:31,19:47,76
vsrv11,PPTP,2018-01-31,18:27,19:53,86
vsrv17,SSTP,2018-01-31,20:17,20:34,17
vsrv16,PPTP,2018-01-31,20:12,20:59,47
vsrv17,SSTP,2018-01-31,20:50,21:01,11
vsrv16,SSTP,2018-01-31,21:29,21:30,1
vsrv11,SOFTETHER,2018-01-31,22:04,22:07,3
vsrv8,SSTP,2018-01-31,21:13,22:11,58
vsrv17,PPTP,2018-01-31,21:15,22:40,85
vsrv8,SSTP,2018-01-31,21:59,22:46,47
vsrv8,SSTP,2018-01-31,22:17,22:52,35
vsrv16,SSTP,2018-01-31,22:36,23:03,27
vsrv10,SSTP,2018-01-31,23:15,23:32,17
vsrv10,SSTP,2018-01-31,23:32,23:39,7
vsrv10,SSTP,2018-01-31,21:49,23:47,118
vsrv10,SSTP,2018-01-31,23:07,23:49,42
vsrv17,PPTP,2018-01-31,22:41,23:49,68
vsrv10,SSTP,2018-01-31,23:49,23:52,3
vsrv11,PPTP,2018-01-31,23:57,00:06,9
vsrv16,SSTP,2018-01-31,23:53,00:07,14
vsrv10,PPTP,2018-01-31,23:51,00:07,16
vsrv16,SSTP,2018-01-31,21:14,00:14,180
vsrv17,SSTP,2018-02-01,00:07,00:16,9
vsrv10,PPTP,2018-01-31,18:46,01:31,405
vsrv17,PPTP,2018-02-01,01:29,03:30,121
vsrv17,SSTP,2018-02-01,09:25,09:48,23
vsrv17,PPTP,2018-02-01,09:55,10:23,28
vsrv17,SSTP,2018-02-01,11:32,11:34,2
vsrv11,SOFTETHER,2018-02-01,11:24,11:47,23
vsrv16,PPTP,2018-02-01,11:38,12:19,41
vsrv8,SSTP,2018-02-01,10:39,12:20,101
vsrv10,PPTP,2018-02-01,10:39,13:10,151
vsrv11,PPTP,2018-02-01,14:25,14:26,1
vsrv16,SSTP,2018-02-01,14:25,14:28,3
vsrv17,SSTP,2018-02-01,14:32,14:41,9
vsrv17,SSTP,2018-02-01,09:40,14:44,304
vsrv10,SSTP,2018-02-01,14:45,14:48,3
vsrv11,PPTP,2018-02-01,15:00,15:03,3
vsrv11,PPTP,2018-02-01,15:29,15:31,2
vsrv10,SSTP,2018-02-01,15:23,15:38,15
vsrv17,SSTP,2018-02-01,11:34,16:06,272
vsrv8,PPTP,2018-02-01,14:42,16:14,92
vsrv11,SOFTETHER,2018-02-01,14:42,16:18,96
vsrv17,PPTP,2018-02-01,16:35,16:52,17
vsrv11,SSTP,2018-02-01,16:49,16:54,5
vsrv10,PPTP,2018-02-01,15:59,16:54,55
vsrv8,SSTP,2018-02-01,16:02,17:02,60
vsrv8,SSTP,2018-02-01,17:07,17:17,10
vsrv10,PPTP,2018-02-01,15:00,17:24,144
vsrv17,SSTP,2018-02-01,17:21,17:24,3
vsrv17,SSTP,2018-02-01,16:37,17:28,51
