"Data_Inquerito","Sexo","Idade","Nacionalidade","Utiliza","Motivos","Funcionalidades","Plataformas","Facilidade_de_uso","Interface_do_Navegador","Utilizacao_do_Historico","Variedade_de_extensoes","Personalizacao_do_Navegador","Qualidade_da_loja_online","Primeira_utilizacao","facilidade_Instalacao","Pesquisa_de_extensoes","Resolucao_de_problemas","Frequencia_de_utilizacao_dia","Tempo_de_utilizacao","Razao_nao_utilizacao"
"2018/04/11 12:37:29 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto;Trabalho;Enciclopedias online;Download de software","Rapidez de navegacao;Utilizacao de memoria;Personalizacao do navegador;Melhor protecao em navegacao anónima;Variedade de extensoes/temas","Desktop;Mobile","5","5","4","4","5","5","4","5","4","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 12:38:25 da tarde CET","Masculino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Incompatibilidade com o dispositivo utilizado;Sistema operativo"
"2018/04/11 12:39:51 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube","Rapidez de navegacao;Baixa utilizacao de memoria","Mobile","5","4","3","4","4","5","5","4","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 12:40:05 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Youtube;Trabalho;Forums de discussao online;Download de software;Memes","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop","4","4","3","4","4","1","4","4","4","2","Mais de 6 horas","Mais de 4 anos",""
"2018/04/11 12:40:34 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Noticias;Download de software","Rapidez de navegacao;Personalizacao do navegador;Sincronizacao com dispositivos moveis","Desktop","3","3","4","5","4","4","4","5","4","3","1 - 2 horas","3 - 4 anos",""
"2018/04/11 12:41:22 da tarde CET","Feminino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Blogs;Noticias;Enciclopedias online","Rapidez de navegacao;Baixa utilizacao de memoria;Sincronizacao com dispositivos moveis","Desktop;Mobile","5","5","4","5","5","5","5","5","4","4","3 - 4 horas","Mais de 4 anos",""
"2018/04/11 12:41:56 da tarde CET","Masculino","Menor que 10","Portugal","Nao","","","","","","","","","","","","","","","","Dificuldade na importacao de marcadores;Problemas de performance;Utilizo outro browser"
"2018/04/11 12:42:57 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Blogs;Desporto","Rapidez de navegacao;Melhor protecao em navegacao anónima","Desktop","4","3","4","4","5","4","3","3","2","3","Menos de 1 hora","Menos de 1 ano",""
"2018/04/11 12:50:58 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Download de software","Baixa utilizacao de memoria","Desktop","4","4","3","2","2","2","4","5","3","2","Menos de 1 hora","3 - 4 anos",""
"2018/04/11 12:56:46 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Trabalho;E-mail","Nenhuma","Desktop;Tablet","1","1","1","1","1","1","2","4","2","1","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 12:56:48 da tarde CET","Masculino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Noticias;Trabalho;Enciclopedias online;Download de software","Rapidez de navegacao;Nao e o chrome","Desktop;Mobile","4","4","4","3","4","2","4","4","2","2","3 - 4 horas","Mais de 4 anos",""
"2018/04/11 12:59:33 da tarde CET","Masculino","18-25","Franca","Sim / Ja utilizei","Desporto;Forums de discussao online;E-mail","Melhor protecao em navegacao anónima;Sincronizacao com dispositivos moveis","Mobile","3","3","3","3","3","3","4","4","5","2","Mais de 6 horas","Menos de 1 ano",""
"2018/04/11 1:03:50 da tarde CET","Feminino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:08:34 da tarde CET","Prefiro nao dizer","10-17","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopedias online;Forums de discussao online;Download de software","Rapidez de navegacao;Baixa utilizacao de memoria","Desktop;Mobile","5","5","4","4","4","4","3","3","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 1:09:57 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto;Email","Rapidez de navegacao;Personalizacao do navegador","Desktop","5","4","4","4","5","5","5","4","5","3","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 1:10:13 da tarde CET","Masculino","18-25","Franca","Sim / Ja utilizei","Youtube;Trabalho","Baixa utilizacao de memoria","Desktop","4","4","4","4","4","4","4","4","4","4","Menos de 1 hora","Menos de 1 ano",""
"2018/04/11 1:10:39 da tarde CET","Masculino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:11:35 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube","Baixa utilizacao de memoria;Personalizacao do navegador;Variedade de extensoes/temas","Desktop","4","4","4","4","4","4","3","4","4","4","Menos de 1 hora","1 - 2 anos",""
