"Carimbo de data/hora","Sexo:","Idade","Nacionalidade","Utiliza a aplicação Firefox","Utiliza para aceder a:","Que funcionalidades do Firefox mais prefere?","Em que plataforma(s) utiliza o FireFox"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Facilidade de uso]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Interface do Navegador]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Utilização do Histórico]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Variedade de extensões / temas]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Personalização do Navegador]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Qualidade da loja online]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Primeira utilização ]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Instalação]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Pesquisa de extensões / temas]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Resolução de problemas]","Frequência de utilização por dia","Há quanto tempo utiliza o Firefox","Qual é a razão de não utilizar Firefox?"
"2018/04/11 12:37:29 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto;Trabalho;Enciclopédias online;Download de software","Rapidez de navegação;Utilização de memoria;Personalização do navegador;Melhor proteção em navegação anónima;Variedade de extensões/temas","Desktop;Mobile","5","5","4","4","5","5","4","5","4","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 12:38:25 da tarde CET","Masculino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Incompatibilidade com o dispositivo utilizado;Sistema operativo"
"2018/04/11 12:39:51 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Rapidez de navegação;Baixa utilização de memoria","Mobile","5","4","3","4","4","5","5","4","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 12:40:05 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Youtube;Trabalho;Forums de discussão online;Download de software;Memes","Rapidez de navegação;Baixa utilização de memoria","Desktop","4","4","3","4","4","1","4","4","4","2","Mais de 6 horas","Mais de 4 anos",""
"2018/04/11 12:40:34 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Noticias;Download de software","Rapidez de navegação;Personalização do navegador;Sincronização com dispositivos moveis","Desktop","3","3","4","5","4","4","4","5","4","3","1 - 2 horas","3 - 4 anos",""
"2018/04/11 12:41:22 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Blogs;Noticias;Enciclopédias online","Rapidez de navegação;Baixa utilização de memoria;Sincronização com dispositivos moveis","Desktop;Mobile","5","5","4","5","5","5","5","5","4","4","3 - 4 horas","Mais de 4 anos",""
"2018/04/11 12:41:56 da tarde CET","Masculino","Menor que 10","Portugal","Não","","","","","","","","","","","","","","","","Dificuldade na importação de marcadores;Problemas de performance;Utilizo outro browser"
"2018/04/11 12:42:57 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Blogs;Desporto","Rapidez de navegação;Melhor proteção em navegação anónima","Desktop","4","3","4","4","5","4","3","3","2","3","Menos de 1 hora","Menos de 1 ano",""
"2018/04/11 12:50:58 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Download de software","Baixa utilização de memoria","Desktop","4","4","3","2","2","2","4","5","3","2","Menos de 1 hora","3 - 4 anos",""
"2018/04/11 12:56:46 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Trabalho;E-mail","Nenhuma","Desktop","1","1","1","1","1","1","2","4","2","1","Menos de 1 hora","Mais de 4 anos",""
